11/06/2013,WA10920,WA10920-1,82,4:56:00 AM,n_a,1,2,2,7,3,1,0,5,3,5:06:00 AM,1,Y,NOISE: STREAM,82,31/07/2013
11/06/2013,WA10921,WA10921-1,82,6:14:00 AM,n_a,1,1,0,6,3,1,0,6,3,6:24:00 AM,0,Y,,82,31/07/2013
11/06/2013,WA10922,WA10922-1,82,9:19:00 AM,n_a,1,2,1,6,3,3,1,6,3,9:29:00 AM,0,Y,,82,31/07/2013
11/06/2013,WA10924,WA10924-1,82,8:46:00 AM,n_a,1,1,1,6,3,3,1,6,3,8:56:00 AM,0,Y,,82,31/07/2013
11/06/2013,WA10971,WA10971-1,82,5:38:00 AM,n_a,1,2,0,7,3,0,0,6,3,5:48:00 AM,2,Y,"NOISE: STREAM, TRUCKS.",82,31/07/2013
11/06/2013,WA10972,WA10972-1,82,6:50:00 AM,n_a,1,2,1,6,3,2,1,5,3,7:00:00 AM,0,Y,,82,31/07/2013
11/06/2013,WA10973,WA10973-1,82,7:27:00 AM,n_a,1,1,1,6,3,2,1,5,3,7:37:00 AM,0,Y,,82,31/07/2013
11/06/2013,WA10974,WA10974-1,82,8:11:00 AM,n_a,1,1,1,6,3,2,1,6,3,8:21:00 AM,2,Y,NOISE: STREAM,82,31/07/2013
11/06/2013,WA10980,WA10980-1,48,5:20:00 AM,n_a,1,2,2,7,3,2,2,6,3,5:30:00 AM,0,Y,,48,31/07/2013
11/06/2013,WA10981,WA10981-1,48,8:14:00 AM,n_a,1,2,0,6,3,1,1,6,3,8:24:00 AM,0,Y,,48,31/07/2013
11/06/2013,WA10982,WA10982-1,48,8:58:00 AM,n_a,1,1,2,6,3,2,2,6,3,9:08:00 AM,0,Y,,48,31/07/2013
11/06/2013,WA10983,WA10983-1,2,9:03:00 AM,n_a,1,0,1,7,3,0,1,7,3,9:13:00 AM,1,Y,"RECORDER DIDN’T WORK, CREEK NEARBY",2,31/07/2013
11/06/2013,WA10990,WA10990-1,2,7:04:00 AM,n_a,1,1,0,6,3,0,0,6,3,7:14:00 AM,0,Y,NO RECORDING,2,31/07/2013
11/06/2013,WA10992,WA10992-1,2,6:21:00 AM,n_a,1,2,0,6,3,2,1,6,3,6:31:00 AM,1,Y,"NO RECORDING, VERY WET AFTER RAIN",2,31/07/2013
20/06/2013,WA11008,WA11008-1,48,8:45:00 AM,n_a,1,3,0,17,0,4,0,17,0,8:55:00 AM,0,N,"Wind high but 100% conifer stand makes very little noise in the wind. RBGR detected just after point count ended (SE quadrant, 0-50m)",48,31/07/2013
20/06/2013,WA11009,WA11009-1,48,8:04:00 AM,n_a,1,2,0,14,0,3,0,13,0,8:14:00 AM,0,N,Wind high but 100% conifer stand makes very little noise in the wind. Low number of birds detected is likely due to habitat type.,48,31/07/2013
20/06/2013,WA11013,WA11013-1,48,9:41:00 AM,n_a,1,4,0,17,0,5,0,17,0,9:51:00 AM,0,N,Too windy but did count anyways since I had already traversed to the point.,48,31/07/2013
20/06/2013,WA11014,WA11014-1,48,7:22:00 AM,n_a,1,2,0,13,0,3,0,14,0,7:32:00 AM,1,N,"Noise: faint traffic and overhead plane noise. Wind gusts to 4 during count, but still fairly quiet due to 100% conifer.",48,31/07/2013
20/06/2013,WA11016,WA11016-1,48,5:46:00 AM,n_a,1,2,0,12,0,3,0,12,0,5:56:00 AM,1,N,Noise: distant traffic on highway. Occaisional wind gusts to 4.,48,31/07/2013
20/06/2013,WA11020,WA11020-1,82,8:35:00 AM,n_a,1,3,0,16,0,3,0,17,0,8:45:00 AM,0,N,WIND GUSTING 4-5,82,31/07/2013
20/06/2013,WA11023,WA11023-1,82,7:55:00 AM,n_a,1,3,0,13,0,3,0,14,0,8:05:00 AM,1,N,NOISE: HWY. PC LOCATED MID-STEEP SLOPE. HARD TO HEAR BIRDS OFF OTHER SIDE OF SLOPE.,82,31/07/2013
20/06/2013,WA11024,WA11024-1,48,5:01:00 AM,n_a,1,2,0,10,0,3,0,8,0,5:11:00 AM,0,N,Wind gusts up to 3 during count.,48,31/07/2013
20/06/2013,WA11026,WA11026-1,82,7:14:00 AM,n_a,1,0,0,12,0,2,0,11,0,7:24:00 AM,1,N,,82,31/07/2013
20/06/2013,WA11027,WA11027-1,82,5:01:00 AM,n_a,1,0,0,10,0,1,0,9,0,5:11:00 AM,1,N,NOISE: HWY,82,31/07/2013
20/06/2013,WA11030,WA11030-1,82,6:25:00 AM,n_a,1,0,0,12,0,2,0,12,0,6:35:00 AM,2,N,NOISE: STREAM <60M,82,31/07/2013
20/06/2013,WA11031,WA11031-1,82,5:49:00 AM,n_a,1,0,0,10,0,1,0,9,0,5:59:00 AM,1,N,,82,31/07/2013
20/06/2013,WA11080,WA11080-1,48,6:30:00 AM,n_a,1,3,0,13,0,3,0,13,0,6:40:00 AM,0,N,"Wind gusts to 4. Accidentally said ""WA11070"" in my intro the point count on the SM2 recording.",48,31/07/2013
20/06/2013,WA11090,WA11090-1,82,9:20:00 AM,n_a,1,3,0,17,0,3,0,17,0,9:30:00 AM,1,N,"NOISE: BUGS, WIND. GUSTING 4-5.",82,31/07/2013
16/06/2013,WA11710,WA11710-1,59,10:09:00 AM,n_a,1,2,2,,3,2,2,,3,10:19:00 AM,2,Y,NO RECORDING; FORGOT KESTREL; GRAJ CALLING AFTER PC; NOISE FROM BUGS AND RAIN DROPS,59,31/07/2013
16/06/2013,WA11712,WA11712-1,98,9:42:00 AM,n_a,1,1,0,12,3,1,0,12,3,9:52:00 AM,1,Y,NO RECORDING DUE TO MOISTURE,98,31/07/2013
16/06/2013,WA11713,WA11713-1,59,9:13:00 AM,n_a,1,1,2,12,3,1,2,12,3,9:23:00 AM,0,Y,NO RECORDING,59,31/07/2013
17/06/2013,WA11714,WA11714-1,59,9:44:00 AM,n_a,1,3,0,14,1,4,0,15,1,9:54:00 AM,2,N,NO RECORDING; NOISE FROM MOSQUITOES AND WIND; WIND GUSTING TO 4/5 CONSTANT AFTER 3 MIN AND SETTLES DOWN AT 9:50,59,31/07/2013
17/06/2013,WA11716,WA11716-1,59,8:43:00 AM,n_a,1,3,0,13,2,3,0,13,2,8:53:00 AM,0,N,NO RECORDING,59,31/07/2013
17/06/2013,WA11717,WA11717-1,98,9:10:00 AM,n_a,1,2,0,14,1,3,0,14,1,9:20:00 AM,1,N,"NO RECORDING DUE TO WIND, GUSTS 4W, 3N.",98,31/07/2013
16/06/2013,WA11719,WA11719-1,98,8:33:00 AM,n_a,1,1,2,13,3,1,2,12,3,8:43:00 AM,2,Y,NO RECORDING DUE TO MOISTURE,98,31/07/2013
17/06/2013,WA11721,WA11721-1,98,8:09:00 AM,n_a,1,2,0,13,1,3,0,12,1,8:19:00 AM,2,N,"NO RECORDING, REASON UNKNOWN",98,31/07/2013
16/06/2013,WA11722,WA11722-1,59,5:44:00 AM,n_a,1,1,3,12,3,1,3,11,3,5:54:00 AM,0,Y,NO RECORDING,59,31/07/2013
16/06/2013,WA11723,WA11723-1,98,5:07:00 AM,n_a,1,1,3,13,3,2,3,12,3,5:17:00 AM,3,Y,"NO RECORDING DUE TO MOISTURE, ALMOST TOO RAINY",98,31/07/2013
17/06/2013,WA11725,WA11725-1,59,7:30:00 AM,n_a,1,2,0,13,3,4,0,13,2,7:40:00 AM,2,N,WIND GUSTING TO 3/4 THROUGHOUT; BUGS AND HIGHWAY NOISE; NO RECORDING (SONGMETER DIED PARTWAY THROUGH PC),59,31/07/2013
16/06/2013,WA11726,WA11726-1,98,6:47:00 AM,n_a,1,1,2,12,3,1,2,11,3,6:57:00 AM,2,Y,NO RECORDING DUE TO MOISTURE,98,31/07/2013
17/06/2013,WA11727,WA11727-1,98,6:56:00 AM,n_a,1,1,0,12,3,1,0,11,3,7:06:00 AM,1,N,,98,31/07/2013
17/06/2013,WA11728,WA11728-1,82,6:37:00 AM,n_a,1,0,0,12,2,2,0,11,2,6:47:00 AM,1,N,NOISE: ROAD.,82,31/07/2013
16/06/2013,WA11730,WA11730-1,59,7:16:00 AM,n_a,1,2,2,12,3,1,2,11,3,7:26:00 AM,0,Y,NO RECORDING,59,31/07/2013
17/06/2013,WA11731,WA11731-1,82,5:49:00 AM,n_a,1,0,0,12,2,0,0,11,2,5:59:00 AM,1,N,,82,31/07/2013
17/06/2013,WA11733,WA11733-1,98,5:36:00 AM,n_a,1,1,0,12,1,1,0,11,1,5:46:00 AM,2,N,NOISE HIGHWAY,98,31/07/2013
17/06/2013,WA11734,WA11734-1,59,5:05:00 AM,n_a,1,0,0,12,3,0,0,11,3,5:15:00 AM,2,N,MOSQUITO AND HIGHWAY NOISE,59,31/07/2013
17/06/2013,WA11750,WA11750-1,48,6:06:00 AM,n_a,1,0,0,12,3,0,0,11,3,6:16:00 AM,2,N,Noise: intermittant highway traffic noise.,48,31/07/2013
17/06/2013,WA11760,WA11760-1,82,8:42:00 AM,n_a,1,3,0,14,2,3,0,14,2,8:52:00 AM,2,N,NOISE: WIND AND FROGS. WIND GUSTING 4.,82,31/07/2013
17/06/2013,WA11761,WA11761-1,82,7:18:00 AM,n_a,1,1,0,12,3,1,0,12,3,7:28:00 AM,1,N,,82,31/07/2013
17/06/2013,WA11762,WA11762-1,82,7:57:00 AM,n_a,1,1,0,13,2,1,0,12,2,8:07:00 AM,2,N,"CAWA SINGING BEFORE AND AFTER PC. NOISE, ROAD, MOSQUITOES.",82,31/07/2013
17/06/2013,WA11766,WA11766-1,48,8:09:00 AM,n_a,1,1,0,12,1,0,0,13,0,8:19:00 AM,2,N,,48,31/07/2013
17/06/2013,WA11767,WA11767-1,48,7:34:00 AM,n_a,1,0,0,14,2,1,0,13,2,7:44:00 AM,2,N,Noise: highway traffic,48,31/07/2013
17/06/2013,WA11768,WA11768-1,48,6:44:00 AM,n_a,1,0,0,12,3,0,0,12,3,6:54:00 AM,2,N,CMWA singing 1 minute prior to count in southeast quadrant less than 50m away. Noise: occaisional passing vehicles on highway.,48,31/07/2013
17/06/2013,WA11769,WA11769-1,48,5:11:00 AM,n_a,1,0,0,13,3,0,0,12,3,5:21:00 AM,2,N,Noise: highway traffic,48,31/07/2013
17/06/2013,WA11790,WA11790-1,59,6:13:00 AM,n_a,1,2,0,12,3,2,0,11,3,6:23:00 AM,2,N,"WIND GUSTING TO 3; HARD TO HEAR BIRDS PAST 50M; CANG CALLING AFTER PC; NOISE FROM BUGS, WIND AND HIGHWAY",59,31/07/2013
16/06/2013,WA12201,WA12201-1,48,5:39:00 AM,n_a,1,1,0,12,3,2,0,11,3,5:49:00 AM,0,Y,,48,31/07/2013
16/06/2013,WA12202,WA12202-1,2,4:56:00 AM,n_a,1,0,0,12,3,1,0,12,3,5:06:00 AM,1,Y,,2,31/07/2013
16/06/2013,WA12203,WA12203-1,82,5:08:00 AM,n_a,1,0,0,13,3,0,0,11,3,5:18:00 AM,1,Y,"NOISE: ROAD, MOSQUITOES.",82,31/07/2013
16/06/2013,WA12204,WA12204-1,48,6:17:00 AM,n_a,1,1,0,11,3,1,0,11,3,6:27:00 AM,0,Y,,48,31/07/2013
16/06/2013,WA12205,WA12205-1,82,5:45:00 AM,n_a,1,0,0,12,3,2,0,11,3,5:55:00 AM,1,Y,,82,31/07/2013
16/06/2013,WA12207,WA12207-1,48,6:57:00 AM,n_a,1,0,0,12,3,1,0,11,3,7:07:00 AM,0,Y,,48,31/07/2013
16/06/2013,WA12208,WA12208-1,82,6:20:00 AM,n_a,1,0,0,12,3,2,0,12,3,6:30:00 AM,1,Y,,82,31/07/2013
16/06/2013,WA12209,WA12209-1,82,7:00:00 AM,n_a,1,1,0,12,3,1,0,11,3,7:10:00 AM,1,Y,"NOISE: ROAD, MOSQUITOES.",82,31/07/2013
16/06/2013,WA12211,WA12211-1,48,7:41:00 AM,n_a,1,1,0,12,3,0,0,11,3,7:51:00 AM,0,Y,,48,31/07/2013
16/06/2013,WA12213,WA12213-1,2,7:46:00 AM,n_a,1,0,0,12,3,1,1,12,3,7:56:00 AM,1,Y,,2,31/07/2013
16/06/2013,WA12215,WA12215-1,48,9:01:00 AM,n_a,1,0,0,13,3,2,0,14,3,9:11:00 AM,0,Y,Mosquitos loud and distracting.,48,31/07/2013
16/06/2013,WA12216,WA12216-1,48,8:17:00 AM,n_a,1,1,0,11,3,0,0,11,3,8:27:00 AM,0,y,,48,31/07/2013
16/06/2013,WA12225,WA12225-1,2,9:10:00 AM,n_a,1,1,0,12,3,1,0,12,3,9:20:00 AM,0,Y,,2,31/07/2013
16/06/2013,WA12270,WA12270-1,82,7:44:00 AM,n_a,1,2,0,12,3,2,0,12,3,7:54:00 AM,1,Y,,82,31/07/2013
16/06/2013,WA12271,WA12271-1,82,8:25:00 AM,n_a,1,1,0,12,3,2,0,12,3,8:35:00 AM,1,Y,NOISE: ROAD. HELICOPTER?,82,31/07/2013
16/06/2013,WA12272,WA12272-1,82,9:04:00 AM,n_a,1,1,0,13,3,1,0,13,3,9:14:00 AM,1,Y,,82,31/07/2013
16/06/2013,WA12280,WA12280-1,2,5:25:00 AM,n_a,1,0,0,11,3,2,1,11,3,5:35:00 AM,1,Y,,2,31/07/2013
16/06/2013,WA12281,WA12281-1,2,5:52:00 AM,n_a,1,1,0,11,3,2,0,11,3,6:02:00 AM,0,Y,,2,31/07/2013
16/06/2013,WA12282,WA12282-1,2,6:35:00 AM,n_a,1,1,0,12,3,2,1,11,3,6:45:00 AM,1,Y,,2,31/07/2013
16/06/2013,WA12283,WA12283-1,2,7:18:00 AM,n_a,1,0,0,11,3,0,0,11,3,7:28:00 AM,1,Y,,2,31/07/2013
16/06/2013,WA12285,WA12285-1,2,8:23:00 AM,n_a,1,1,0,12,3,1,0,12,3,8:33:00 AM,0,Y,,2,31/07/2013
16/06/2013,WA12290,WA12290-1,48,4:54:00 AM,n_a,1,0,0,14,3,0,0,11,3,5:04:00 AM,0,Y,,48,31/07/2013
16/06/2013,WA12293,WA12293-1,48,9:46:00 AM,n_a,1,1,0,13,3,1,0,14,3,9:56:00 AM,0,Y,,48,31/07/2013
12/06/2013,WA12912,WA12912-1,59,9:33:00 AM,n_a,1,1,0,11,3,1,0,10,3,9:43:00 AM,0,N,ALFL HEARD SINGING AFTER PC; FAULTY RECORDING,59,31/07/2013
12/06/2013,WA12980,WA12980-1,98,5:11:00 AM,n_a,1,0,1,9,3,1,1,6,3,5:21:00 AM,1,Y,,98,31/07/2013
12/06/2013,WA12981,WA12981-1,98,6:51:00 AM,n_a,1,1,1,8,3,1,1,8,3,7:01:00 AM,2,Y,REVI? NOISE VEHICLES,98,31/07/2013
12/06/2013,WA12982,WA12982-1,59,7:21:00 AM,n_a,1,1,1,8,3,1,1,8,3,7:31:00 AM,2,Y,NOISE FROM VEHICLES AND GRAVEL PIT; WTSP SINGING AFTER PC; FAULTY RECORDING,59,31/07/2013
12/06/2013,WA12990,WA12990-1,59,5:00:00 AM,n_a,1,1,1,11,3,1,1,17,3,5:10:00 AM,3,Y,GRAVEL PIT NOISE AND STREAM; BTNW HEARD SINGING EN ROUTE TO PC; NO RECORDING (FAULTY),59,31/07/2013
12/06/2013,WA12994,WA12994-1,98,10:18:00 AM,n_a,1,1,0,12,3,1,0,12,3,10:28:00 AM,1,Y,,98,31/07/2013
12/06/2013,WA12995,WA12995-1,98,7:53:00 AM,n_a,1,0,0,9,3,1,0,9,3,8:03:00 AM,1,Y,,98,31/07/2013
12/06/2013,WA12996,WA12996-1,59,8:23:00 AM,n_a,1,2,0,9,3,2,0,9,3,8:33:00 AM,2,Y,STREAM NOISE; PC NEAR BEAVER POND; HAWO CAVITY IN AW ON PC AND SEEN AFTER PC; FAULTY RECORDING,59,31/07/2013
12/06/2013,WA12997,WA12997-1,98,9:00:00 AM,n_a,1,1,1,10,3,1,1,10,3,9:10:00 AM,2,Y,NOISE MACHINES,98,31/07/2013
24/06/2013,WA13102,WA13102-1,98,7:52:00 AM,n_a,1,0,0,12,3,0,0,12,3,8:02:00 AM,1,Y,"WAVI, YBSA?",98,31/07/2013
24/06/2013,WA13103,WA13103-1,59,7:27:00 AM,n_a,1,0,0,12,3,0,0,12,3,7:37:00 AM,1,N,SONGMETER NOT WORKING; TAPPING ON METAL? BUGS LOUD,59,31/07/2013
24/06/2013,WA13104,WA13104-1,98,9:07:00 AM,n_a,1,0,0,13,3,0,0,14,3,9:17:00 AM,1,Y,"WWCR BEFORE, CHSP AFTER",98,31/07/2013
24/06/2013,WA13105,WA13105-1,98,9:56:00 AM,n_a,1,2,0,14,3,1,0,13,3,10:06:00 AM,1,Y,"GUSTS 3W, 2N",98,31/07/2013
24/06/2013,WA13107,WA13107-1,59,8:05:00 AM,n_a,1,0,0,11,3,0,0,11,3,8:15:00 AM,1,N,AIRPLANE NOISE,59,31/07/2013
24/06/2013,WA13109,WA13109-1,2,6:55:00 AM,n_a,1,0,0,10,3,0,0,10,3,7:05:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13110,WA13110-1,59,8:43:00 AM,n_a,1,0,0,12,3,1,0,12,3,8:53:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13112,WA13112-1,2,7:33:00 AM,n_a,1,0,0,11,3,0,0,11,3,7:43:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13114,WA13114-1,59,9:27:00 AM,n_a,1,1,0,14,3,2,0,14,3,9:37:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13119,WA13119-1,2,9:02:00 AM,n_a,1,0,0,14,3,0,0,13,3,9:12:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13170,WA13170-1,2,4:46:00 AM,n_a,1,0,0,12,3,0,0,8,3,4:56:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13171,WA13171-1,2,5:54:00 AM,n_a,1,0,0,9,3,0,0,8,3,6:04:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13172,WA13172-1,2,8:24:00 AM,n_a,1,0,0,12,3,0,0,13,3,8:34:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13173,WA13173-1,2,9:40:00 AM,n_a,1,0,0,14,3,0,0,13,3,9:50:00 AM,0,N,,2,31/07/2013
24/06/2013,WA13180,WA13180-1,98,4:51:00 AM,n_a,1,0,0,8,3,0,0,7,3,5:01:00 AM,0,Y,,98,31/07/2013
24/06/2013,WA13181,WA13181-1,98,5:26:00 AM,n_a,1,0,0,7,3,0,0,6,3,5:36:00 AM,0,Y,PISI FROM EARLIER PC,98,31/07/2013
24/06/2013,WA13182,WA13182-1,98,6:21:00 AM,n_a,1,0,0,8,3,0,0,8,3,6:31:00 AM,0,Y,BRCR? BTNW AFTER,98,31/07/2013
24/06/2013,WA13183,WA13183-1,98,7:03:00 AM,n_a,1,0,0,10,3,0,0,10,3,7:13:00 AM,1,Y,"YWAR AFTER, LISP?",98,31/07/2013
24/06/2013,WA13184,WA13184-1,98,8:32:00 AM,n_a,1,0,0,12,3,0,0,12,3,8:42:00 AM,1,Y,"CHSP, RBNU? SWTH FLUSHED SLOWLY NEAR OBSERVER AND THEN CALLED QUIETLY NEARBY",98,31/07/2013
24/06/2013,WA13190,WA13190-1,59,4:38:00 AM,n_a,1,0,0,14,3,0,0,10,3,4:48:00 AM,1,N,NOISE FROM EMILY'S BEAR CALL,59,31/07/2013
24/06/2013,WA13191,WA13191-1,59,5:09:00 AM,n_a,1,0,0,11,3,0,0,8,3,5:19:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13192,WA13192-1,59,5:38:00 AM,n_a,1,1,0,7,3,1,0,6,2,5:48:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13193,WA13193-1,59,6:03:00 AM,n_a,1,1,0,7,3,0,0,7,3,6:13:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13194,WA13194-1,59,6:32:00 AM,n_a,1,0,0,8,3,0,0,8,3,6:42:00 AM,0,N,,59,31/07/2013
24/06/2013,WA13195,WA13195-1,59,7:00:00 AM,n_a,1,0,0,10,3,1,0,10,3,7:10:00 AM,0,N,SONGMETER NOT WORKING,59,31/07/2013
28/06/2013,WA13310,WA13310-1,2,4:47:00 AM,n_a,1,0,0,3,0,0,0,1,0,4:57:00 AM,2,N,,2,31/07/2013
28/06/2013,WA13311,WA13311-1,2,8:06:00 AM,n_a,1,2,0,12,1,3,0,13,0,8:16:00 AM,0,N,,2,31/07/2013
28/06/2013,WA13312,WA13312-1,2,7:36:00 AM,n_a,1,2,0,10,0,0,0,10,0,7:46:00 AM,0,N,"LOCATION OF POSSIBLE GAS INHALATION, FEELING DIZZY, LIGHTHEADED",2,31/07/2013
28/06/2013,WA13313,WA13313-1,2,8:46:00 AM,n_a,1,2,0,14,0,3,0,16,0,8:56:00 AM,2,N,VERY WINDY GUSTING UP TO 4 DIFFICULT TO HEAR BIRDS.,2,31/07/2013
28/06/2013,WA13315,WA13315-1,2,9:49:00 AM,n_a,1,3,0,19,0,3,0,19,0,9:59:00 AM,3,N,,2,31/07/2013
28/06/2013,WA13317,WA13317-1,2,9:14:00 AM,n_a,1,3,0,17,0,4,0,18,0,9:24:00 AM,0,N,,2,31/07/2013
28/06/2013,WA13319,WA13319-1,59,4:40:00 AM,n_a,1,0,0,9,0,0,0,9,0,4:50:00 AM,2,N,HELICOPTER NOISE,59,31/07/2013
29/06/2013,WA13321,WA13321-1,98,4:42:00 AM,n_a,1,0,0,10,0,0,0,10,0,4:52:00 AM,0,N,,98,31/07/2013
28/06/2013,WA13323,WA13323-1,59,5:41:00 AM,n_a,1,1,0,9,0,1,0,9,0,5:51:00 AM,2,N,MACHINE NOISE,59,31/07/2013
29/06/2013,WA13324,WA13324-1,59,5:13:00 AM,n_a,1,1,0,10,0,1,0,9,0,5:23:00 AM,0,N,,59,31/07/2013
29/06/2013,WA13325,WA13325-1,98,5:43:00 AM,n_a,1,0,0,11,0,0,0,10,1,5:53:00 AM,1,N,SWTH?,98,31/07/2013
29/06/2013,WA13326,WA13326-1,59,6:13:00 AM,n_a,1,0,0,12,1,0,0,12,1,6:23:00 AM,0,N,MAWA SINGING AFTER PC,59,31/07/2013
28/06/2013,WA13327,WA13327-1,98,6:13:00 AM,n_a,1,2,0,10,0,3,0,10,0,6:23:00 AM,2,N,"ALMOST TOO WINDY, GUSTS 4W 3N",98,31/07/2013
29/06/2013,WA13328,WA13328-1,59,7:07:00 AM,n_a,1,1,0,14,3,0,0,14,3,7:17:00 AM,0,N,,59,31/07/2013
28/06/2013,WA13329,WA13329-1,59,6:46:00 AM,n_a,1,2,0,11,0,2,0,11,0,6:56:00 AM,1,N,AIRPLANE NOISE; BCCH SINGING BEFORE PC,59,31/07/2013
28/06/2013,WA13331,WA13331-1,59,8:03:00 AM,n_a,1,2,0,14,0,5,0,15,0,8:13:00 AM,2,N,"WIND GUSTING TO 4 THROUGHOUT; TRIED 2 MORE PCs after this one, but too windy",59,31/07/2013
28/06/2013,WA13332,WA13332-1,98,7:29:00 AM,n_a,1,2,0,12,0,2,0,13,0,7:39:00 AM,1,N,GUSTS 3W 2N,98,31/07/2013
29/06/2013,WA13334,WA13334-1,98,8:00:00 AM,n_a,1,1,0,16,3,1,0,17,3,8:10:00 AM,1,N,,98,31/07/2013
28/06/2013,WA13371,WA13371-1,2,6:57:00 AM,n_a,1,0,0,6,1,0,0,7,1,7:07:00 AM,2,N,,2,31/07/2013
29/06/2013,WA13374,WA13374-1,2,5:13:00 AM,n_a,1,0,0,12,0,0,0,16,0,5:23:00 AM,0,N,,2,31/07/2013
29/06/2013,WA13376,WA13376-1,2,6:00:00 AM,n_a,1,0,0,12,0,0,0,12,0,6:10:00 AM,0,N,,2,31/07/2013
29/06/2013,WA13377,WA13377-1,2,6:32:00 AM,n_a,1,0,0,14,3,0,0,15,3,6:42:00 AM,0,N,,2,31/07/2013
29/06/2013,WA13378,WA13378-1,2,7:20:00 AM,n_a,1,0,0,15,3,0,0,16,3,7:30:00 AM,1,N,,2,31/07/2013
29/06/2013,WA13379,WA13379-1,2,9:24:00 AM,n_a,1,1,0,17,3,1,0,17,3,9:34:00 AM,0,N,,2,31/07/2013
29/06/2013,WA13380,WA13380-1,98,6:43:00 AM,n_a,1,0,0,13,3,0,0,13,3,6:53:00 AM,1,N,,98,31/07/2013
28/06/2013,WA13386,WA13386-1,2,6:04:00 AM,n_a,1,0,0,1,0,0,0,2,0,6:14:00 AM,2,N,,2,31/07/2013
28/06/2013,WA13387,WA13387-1,2,5:27:00 AM,n_a,1,0,0,0,0,0,0,0,0,5:37:00 AM,2,N,,2,31/07/2013
28/06/2013,WA13390,WA13390-1,98,5:13:00 AM,n_a,1,0,0,8,0,1,0,8,0,5:23:00 AM,1,N,OVEN? NOISE COMPRESSOR STATION,98,31/07/2013
29/06/2013,WA13391,WA13391-1,98,9:23:00 AM,n_a,1,1,0,18,3,1,0,18,3,9:33:00 AM,1,N,GUSTS 2W,98,31/07/2013
29/06/2013,WA13392,WA13392-1,59,8:51:00 AM,n_a,1,1,0,18,3,2,0,18,3,9:01:00 AM,0,N,BUGS OUT OF CONTROL,59,31/07/2013
29/06/2013,WA13393,WA13393-1,2,7:40:00 AM,n_a,1,0,0,16,3,0,0,16,3,7:50:00 AM,1,N,,2,31/07/2013
29/06/2013,WA13394,WA13394-1,2,8:52:00 AM,n_a,1,1,0,17,3,1,0,17,3,9:02:00 AM,0,N,,2,31/07/2013
29/06/2013,WA13396,WA13396-1,2,8:20:00 AM,n_a,1,1,0,17,3,1,0,17,3,8:30:00 AM,0,N,,2,31/07/2013
13/06/2013,WA13701,WA13701-1,82,6:33:00 AM,n_a,1,0,1,12,3,0,1,11,3,6:43:00 AM,3,Y,"NOISE: ROAD, RAINDROPS FROM TREES",82,31/07/2013
13/06/2013,WA13702,WA13702-1,82,7:19:00 AM,n_a,1,0,0,13,3,2,2,11,3,7:29:00 AM,2,Y,NOISE: FROGS,82,31/07/2013
13/06/2013,WA13703,WA13703-1,82,7:52:00 AM,n_a,1,2,0,12,3,2,0,12,3,8:02:00 AM,2,Y,"WIND GUSTING 3-4. NOISE: ROAD, WIND",82,31/07/2013
13/06/2013,WA13704,WA13704-1,82,8:32:00 AM,n_a,1,0,0,13,3,2,0,11,3,8:42:00 AM,2,Y,NOISE: MOSQUITO BUZZ…,82,31/07/2013
13/06/2013,WA13705,WA13705-1,82,9:08:00 AM,n_a,1,1,0,12,2,2,0,12,2,9:18:00 AM,2,Y,"NOISE: ROAD, MOSQUITOES.",82,31/07/2013
13/06/2013,WA13710,WA13710-1,82,9:50:00 AM,n_a,1,2,0,13,2,3,0,12,1,10:00:00 AM,2,Y,NOISE: ROAD.,82,31/07/2013
13/06/2013,WA13720,WA13720-1,2,9:19:00 AM,n_a,1,2,1,12,3,2,1,12,3,9:29:00 AM,1,Y,,2,31/07/2013
13/06/2013,WA13721,WA13721-1,48,5:04:00 AM,n_a,1,0,1,12,3,0,1,11,3,5:14:00 AM,1,Y,Noise: occaisional passing vehicles on Chip Lake Road. Mosquitos loud and distracting. Water dripping from trees from previous night's rain.,48,31/07/2013
13/06/2013,WA13730,WA13730-1,48,6:16:00 AM,n_a,1,0,0,11,3,0,0,11,3,6:26:00 AM,0,Y,Mosquitos loud and distracting.,48,31/07/2013
13/06/2013,WA13731,WA13731-1,48,6:51:00 AM,n_a,1,0,0,11,2,0,0,11,3,7:01:00 AM,0,Y,,48,31/07/2013
13/06/2013,WA13770,WA13770-1,48,5:44:00 AM,n_a,1,0,0,10,3,0,0,10,3,5:54:00 AM,1,Y,Noise: occaisional passing vehicles on Chip Lake Road.,48,31/07/2013
13/06/2013,WA13771,WA13771-1,48,7:26:00 AM,n_a,1,0,0,11,2,0,0,11,3,7:36:00 AM,2,Y,Noise: occaisional passing vehicles on Chip Lake Road.,48,31/07/2013
