Item/Point,Version anglaise,Version française,,,,,,,,,,,,,,,,,
RE11303,RE113,NAD83,No,n_a,n_a,n_a,-116.098432,56.965899,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11304,RE113,NAD83,No,n_a,n_a,n_a,-116.095684,56.968586,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11307,RE113,NAD83,No,n_a,n_a,n_a,-116.0879,56.96576,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11311,RE113,NAD83,No,n_a,n_a,n_a,-116.079422,56.969692,GIS,point,93,TRUE,11/06/2013,Road,,,,,
RE11312,RE113,NAD83,No,n_a,n_a,n_a,-116.07952,56.961857,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11314,RE113,NAD83,No,n_a,n_a,n_a,-116.075732,56.951601,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11316,RE113,NAD83,No,n_a,n_a,n_a,-116.071392,56.954362,GIS,point,14,TRUE,11/06/2013,Road,,,,,
RE11319,RE113,NAD83,No,n_a,n_a,n_a,-116.064812,56.961404,GIS,point,93,TRUE,11/06/2013,Road,,,,,
RE11323,RE113,NAD83,No,n_a,n_a,n_a,-116.053505,56.95629,GIS,point,93,TRUE,11/06/2013,Road,,,,,
RE11326,RE113,NAD83,No,n_a,n_a,n_a,-116.050172,56.960833,GIS,point,93,TRUE,11/06/2013,Road,,,,,
RE11329,RE113,NAD83,No,n_a,n_a,n_a,-116.043646,56.957376,GIS,point,93,TRUE,11/06/2013,Road,,,,,
RE11390,RE113,NAD83,No,n_a,n_a,n_a,-116.058764,56.959058,GPS,point,93,TRUE,11/06/2013,Road,,,,,
RE11391,RE113,NAD83,No,n_a,n_a,n_a,-116.040909,56.959679,GPS,point,93,TRUE,11/06/2013,Road,,,,,
RE11402,RE114,NAD83,No,n_a,n_a,n_a,-116.024905,56.980329,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11403,RE114,NAD83,No,n_a,n_a,n_a,-116.024128,56.983728,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11405,RE114,NAD83,No,n_a,n_a,n_a,-116.017179,56.983561,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11407,RE114,NAD83,No,n_a,n_a,n_a,-116.015674,56.979886,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11409,RE114,NAD83,No,n_a,n_a,n_a,-116.011084,56.99001,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11414,RE114,NAD83,No,n_a,n_a,n_a,-116.004585,56.990663,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11415,RE114,NAD83,No,n_a,n_a,n_a,-116.002061,56.987715,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11419,RE114,NAD83,No,n_a,n_a,n_a,-115.996486,56.990952,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11420,RE114,NAD83,No,n_a,n_a,n_a,-115.9935,56.987959,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11422,RE114,NAD83,No,n_a,n_a,n_a,-115.991757,56.982002,GIS,point,93,TRUE,07/06/2013,Road,,,,,
RE11424,RE114,NAD83,No,n_a,n_a,n_a,-115.986441,56.992928,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11425,RE114,NAD83,No,n_a,n_a,n_a,-115.985924,56.983309,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11426,RE114,NAD83,No,n_a,n_a,n_a,-115.981559,56.977179,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11427,RE114,NAD83,No,n_a,n_a,n_a,-115.977547,56.988774,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11428,RE114,NAD83,No,n_a,n_a,n_a,-115.976645,56.974888,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11430,RE114,NAD83,No,n_a,n_a,n_a,-115.971513,56.986898,GIS,point,14,TRUE,07/06/2013,Road,,,,,
RE11512,RE115,NAD83,No,n_a,n_a,n_a,-115.98186,56.925646,GIS,point,14,TRUE,05/06/2013,Road,,,,,
RE11513,RE115,NAD83,No,n_a,n_a,n_a,-115.982168,56.909158,GIS,point,93,TRUE,05/06/2013,Road,,,,,
RE11516,RE115,NAD83,No,n_a,n_a,n_a,-115.971702,56.936726,GIS,point,14,TRUE,05/06/2013,Road,,,,,
RE11518,RE115,NAD83,No,n_a,n_a,n_a,-115.964952,56.943042,GIS,point,14,TRUE,05/06/2013,Road,,,,,
RE11519,RE115,NAD83,No,n_a,n_a,n_a,-115.964463,56.947149,GIS,point,14,TRUE,05/06/2013,Road,,,,,
RE11520,RE115,NAD83,No,n_a,n_a,n_a,-115.964861,56.939568,GIS,point,14,TRUE,05/06/2013,Road,,,,,
RE11525,RE115,NAD83,No,n_a,n_a,n_a,-115.952193,56.92657,GIS,point,93,TRUE,05/06/2013,Road,,,,,
RE11526,RE115,NAD83,No,n_a,n_a,n_a,-115.951999,56.923279,GIS,point,93,TRUE,05/06/2013,Road,,,,,
RE11533,RE115,NAD83,No,n_a,n_a,n_a,-115.931499,56.91866,GIS,point,93,TRUE,05/06/2013,Road,,,,,
RE11570,RE115,NAD83,No,n_a,n_a,n_a,-115.976949,56.944444,GPS,point,14,TRUE,05/06/2013,Road,,,,,
RE11590,RE115,NAD83,No,n_a,n_a,n_a,-115.953649,56.91634,MAP,point,93,TRUE,05/06/2013,Road,,,,,
RE11591,RE115,NAD83,No,n_a,n_a,n_a,-115.937474,56.917918,GPS,point,93,TRUE,05/06/2013,Road,,,,,
RE11603,RE116,NAD83,No,n_a,n_a,n_a,-115.923559,56.875414,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11605,RE116,NAD83,No,n_a,n_a,n_a,-115.914747,56.864675,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11607,RE116,NAD83,No,n_a,n_a,n_a,-115.912904,56.870001,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11608,RE116,NAD83,No,n_a,n_a,n_a,-115.905071,56.879241,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11611,RE116,NAD83,No,n_a,n_a,n_a,-115.887639,56.899983,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11613,RE116,NAD83,No,n_a,n_a,n_a,-115.882285,56.903172,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11614,RE116,NAD83,No,n_a,n_a,n_a,-115.880723,56.89274,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11615,RE116,NAD83,No,n_a,n_a,n_a,-115.883112,56.868504,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11617,RE116,NAD83,No,n_a,n_a,n_a,-115.874804,56.892871,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11618,RE116,NAD83,No,n_a,n_a,n_a,-115.875225,56.86865,GIS,point,14,TRUE,04/06/2013,Road,,,,,
RE11619,RE116,NAD83,No,n_a,n_a,n_a,-115.868894,56.900475,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11623,RE116,NAD83,No,n_a,n_a,n_a,-115.863628,56.893309,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11624,RE116,NAD83,No,n_a,n_a,n_a,-115.853486,56.888607,GIS,point,93,TRUE,04/06/2013,Road,,,,,
RE11701,RE117,NAD83,No,n_a,n_a,n_a,-115.531733,56.869568,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11702,RE117,NAD83,No,n_a,n_a,n_a,-115.531687,56.86635,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11703,RE117,NAD83,No,n_a,n_a,n_a,-115.53027,56.851683,GIS,point,19,TRUE,22/06/2013,Road,,,,,
RE11704,RE117,NAD83,No,n_a,n_a,n_a,-115.52482,56.869692,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11705,RE117,NAD83,No,n_a,n_a,n_a,-115.527285,56.848288,GIS,point,19,TRUE,22/06/2013,Road,,,,,
RE11706,RE117,NAD83,No,n_a,n_a,n_a,-115.518944,56.869716,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11708,RE117,NAD83,No,n_a,n_a,n_a,-115.517993,56.850977,GIS,point,19,TRUE,22/06/2013,Road,,,,,
RE11709,RE117,NAD83,No,n_a,n_a,n_a,-115.512931,56.859802,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11710,RE117,NAD83,No,n_a,n_a,n_a,-115.510293,56.869089,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11711,RE117,NAD83,No,n_a,n_a,n_a,-115.507597,56.886992,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11712,RE117,NAD83,No,n_a,n_a,n_a,-115.508721,56.85518,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11713,RE117,NAD83,No,n_a,n_a,n_a,-115.508131,56.849882,GIS,point,19,TRUE,22/06/2013,Road,,,,,
RE11714,RE117,NAD83,No,n_a,n_a,n_a,-115.506713,56.860016,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11716,RE117,NAD83,No,n_a,n_a,n_a,-115.502039,56.885215,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11717,RE117,NAD83,No,n_a,n_a,n_a,-115.502658,56.879817,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11719,RE117,NAD83,No,n_a,n_a,n_a,-115.499407,56.882386,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11720,RE117,NAD83,No,n_a,n_a,n_a,-115.502657,56.853974,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11721,RE117,NAD83,No,n_a,n_a,n_a,-115.49929,56.873583,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11722,RE117,NAD83,No,n_a,n_a,n_a,-115.501045,56.849721,GIS,point,19,TRUE,22/06/2013,Road,,,,,
RE11723,RE117,NAD83,No,n_a,n_a,n_a,-115.495114,56.871517,GIS,point,27,TRUE,22/06/2013,Road,,,,,
RE11724,RE117,NAD83,No,n_a,n_a,n_a,-115.493679,56.880705,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11725,RE117,NAD83,No,n_a,n_a,n_a,-115.491571,56.851841,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11727,RE117,NAD83,No,n_a,n_a,n_a,-115.483147,56.881882,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11729,RE117,NAD83,No,n_a,n_a,n_a,-115.479883,56.856525,GIS,point,27,TRUE,21/06/2013,Road,,,,,
RE11731,RE117,NAD83,No,n_a,n_a,n_a,-115.475171,56.880114,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11733,RE117,NAD83,No,n_a,n_a,n_a,-115.470646,56.877765,GIS,point,19,TRUE,21/06/2013,Road,,,,,
RE11781,RE117,NAD83,No,n_a,n_a,n_a,-115.516193,56.861779,GPS,point,27,TRUE,21/06/2013,Road,,,,,
RE11785,RE117,NAD83,No,n_a,n_a,n_a,-115.543522,56.86817,GPS,point,27,TRUE,22/06/2013,Road,,,,,
RE11790,RE117,NAD83,No,n_a,n_a,n_a,-115.476421,56.877081,GPS,point,19,TRUE,21/06/2013,Road,,,,,
RE11791,RE117,NAD83,No,n_a,n_a,n_a,-115.542297,56.852276,GPS,point,19,TRUE,22/06/2013,Road,,,,,
RE11792,RE117,NAD83,No,n_a,n_a,n_a,-115.535453,56.859435,GPS,point,19,TRUE,22/06/2013,Road,,,,,
RE11793,RE117,NAD83,No,n_a,n_a,n_a,-115.534463,56.854352,GPS,point,19,TRUE,22/06/2013,Road,,,,,
RE11794,RE117,NAD83,No,n_a,n_a,n_a,-115.532976,56.848171,GPS,point,19,TRUE,22/06/2013,Road,,,,,
RE11795,RE117,NAD83,No,n_a,n_a,n_a,-115.522836,56.846687,GPS,point,19,TRUE,22/06/2013,Road,,,,,
RE11804,RE118,NAD83,No,n_a,n_a,n_a,-115.255753,56.949814,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11807,RE118,NAD83,No,n_a,n_a,n_a,-115.250921,56.953564,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11809,RE118,NAD83,No,n_a,n_a,n_a,-115.242306,56.952857,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11810,RE118,NAD83,No,n_a,n_a,n_a,-115.242712,56.947427,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11814,RE118,NAD83,No,n_a,n_a,n_a,-115.236767,56.949972,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11819,RE118,NAD83,No,n_a,n_a,n_a,-115.229022,56.946971,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11820,RE118,NAD83,No,n_a,n_a,n_a,-115.22725,56.954082,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11821,RE118,NAD83,No,n_a,n_a,n_a,-115.227278,56.950714,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11824,RE118,NAD83,No,n_a,n_a,n_a,-115.220412,56.946986,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11825,RE118,NAD83,No,n_a,n_a,n_a,-115.217352,56.9523,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11829,RE118,NAD83,No,n_a,n_a,n_a,-115.212466,56.94712,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11830,RE118,NAD83,No,n_a,n_a,n_a,-115.210943,56.951225,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11832,RE118,NAD83,No,n_a,n_a,n_a,-115.204297,56.947013,GIS,point,27,TRUE,23/06/2013,Road,,,,,
RE11834,RE118,NAD83,No,n_a,n_a,n_a,-115.20255,56.950515,GIS,point,19,TRUE,23/06/2013,Road,,,,,
RE11880,RE118,NAD83,No,n_a,n_a,n_a,-115.249008,56.949809,GPS,point,27,TRUE,23/06/2013,Road,,,,,
RE12004,RE120,NAD83,No,n_a,n_a,n_a,-115.001172,56.6466,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12006,RE120,NAD83,No,n_a,n_a,n_a,-114.998913,56.649623,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12008,RE120,NAD83,No,n_a,n_a,n_a,-114.99617,56.639933,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12013,RE120,NAD83,No,n_a,n_a,n_a,-114.986769,56.662726,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12014,RE120,NAD83,No,n_a,n_a,n_a,-114.986645,56.657268,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12015,RE120,NAD83,No,n_a,n_a,n_a,-114.988911,56.636109,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12016,RE120,NAD83,No,n_a,n_a,n_a,-114.986162,56.653623,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12017,RE120,NAD83,No,n_a,n_a,n_a,-114.984061,56.660379,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12019,RE120,NAD83,No,n_a,n_a,n_a,-114.980642,56.650312,GIS,point,14,TRUE,01/07/2013,Road,,,,,
RE12021,RE120,NAD83,No,n_a,n_a,n_a,-114.976793,56.665979,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12025,RE120,NAD83,No,n_a,n_a,n_a,-114.970819,56.66627,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12028,RE120,NAD83,No,n_a,n_a,n_a,-114.966619,56.668999,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12030,RE120,NAD83,No,n_a,n_a,n_a,-114.960972,56.664997,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12031,RE120,NAD83,No,n_a,n_a,n_a,-114.954997,56.665617,GIS,point,93,TRUE,01/07/2013,Road,,,,,
RE12090,RE120,NAD83,No,n_a,n_a,n_a,-114.976966,56.66032,GPS,point,93,TRUE,01/07/2013,Road,,,,,
RE12091,RE120,NAD83,No,n_a,n_a,n_a,-114.983899,56.663043,GPS,point,93,TRUE,01/07/2013,Road,,,,,
RE12106,RE121,NAD83,No,n_a,n_a,n_a,-114.796949,56.640366,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12108,RE121,NAD83,No,n_a,n_a,n_a,-114.79685,56.63646,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12109,RE121,NAD83,No,n_a,n_a,n_a,-114.795369,56.643805,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12110,RE121,NAD83,No,n_a,n_a,n_a,-114.796316,56.624015,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12112,RE121,NAD83,No,n_a,n_a,n_a,-114.792912,56.631688,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12114,RE121,NAD83,No,n_a,n_a,n_a,-114.790591,56.638833,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12115,RE121,NAD83,No,n_a,n_a,n_a,-114.791091,56.635193,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12116,RE121,NAD83,No,n_a,n_a,n_a,-114.784541,56.646501,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12117,RE121,NAD83,No,n_a,n_a,n_a,-114.786934,56.626845,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12118,RE121,NAD83,No,n_a,n_a,n_a,-114.786972,56.620094,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12119,RE121,NAD83,No,n_a,n_a,n_a,-114.781043,56.648877,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12120,RE121,NAD83,No,n_a,n_a,n_a,-114.784608,56.623556,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12121,RE121,NAD83,No,n_a,n_a,n_a,-114.781994,56.629816,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12123,RE121,NAD83,No,n_a,n_a,n_a,-114.775895,56.645691,GIS,point,19,TRUE,29/06/2013,Road,,,,,
RE12124,RE121,NAD83,No,n_a,n_a,n_a,-114.780769,56.613199,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12127,RE121,NAD83,No,n_a,n_a,n_a,-114.771907,56.629533,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12128,RE121,NAD83,No,n_a,n_a,n_a,-114.772704,56.616891,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12129,RE121,NAD83,No,n_a,n_a,n_a,-114.769667,56.622711,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12131,RE121,NAD83,No,n_a,n_a,n_a,-114.764785,56.625001,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12132,RE121,NAD83,No,n_a,n_a,n_a,-114.763811,56.618331,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12133,RE121,NAD83,No,n_a,n_a,n_a,-114.759336,56.636747,GIS,point,63,TRUE,29/06/2013,Road,,,,,
RE12134,RE121,NAD83,No,n_a,n_a,n_a,-114.756874,56.632814,GIS,point,27,TRUE,29/06/2013,Road,,,,,
RE12201,RE122,NAD83,No,n_a,n_a,n_a,-114.551788,56.478767,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12202,RE122,NAD83,No,n_a,n_a,n_a,-114.551152,56.475557,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12203,RE122,NAD83,No,n_a,n_a,n_a,-114.545828,56.469792,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12204,RE122,NAD83,No,n_a,n_a,n_a,-114.543983,56.47747,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12205,RE122,NAD83,No,n_a,n_a,n_a,-114.547836,56.44605,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12206,RE122,NAD83,No,n_a,n_a,n_a,-114.546855,56.451441,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12207,RE122,NAD83,No,n_a,n_a,n_a,-114.543343,56.444022,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12208,RE122,NAD83,No,n_a,n_a,n_a,-114.538291,56.457677,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12209,RE122,NAD83,No,n_a,n_a,n_a,-114.536262,56.469384,GIS,point,19,TRUE,25/06/2013,Road,,,,,
RE12211,RE122,NAD83,No,n_a,n_a,n_a,-114.528274,56.483082,GIS,point,27,TRUE,25/06/2013,Road,,,,,
RE12212,RE122,NAD83,No,n_a,n_a,n_a,-114.528353,56.47674,GIS,point,27,TRUE,25/06/2013,Road,,,,,
RE12214,RE122,NAD83,No,n_a,n_a,n_a,-114.529249,56.469656,GIS,point,27,TRUE,25/06/2013,Road,,,,,
RE12215,RE122,NAD83,No,n_a,n_a,n_a,-114.530072,56.457646,GIS,point,27,TRUE,25/06/2013,Road,,,,,
RE12217,RE122,NAD83,No,n_a,n_a,n_a,-114.525993,56.460541,GIS,point,27,TRUE,25/06/2013,Road,,,,,
RE12220,RE122,NAD83,No,n_a,n_a,n_a,-114.513965,56.484295,GIS,point,63,TRUE,25/06/2013,Road,,,,,
RE12221,RE122,NAD83,No,n_a,n_a,n_a,-114.514408,56.449602,GIS,point,63,TRUE,25/06/2013,Road,,,,,
RE12223,RE122,NAD83,No,n_a,n_a,n_a,-114.500283,56.44798,GIS,point,63,TRUE,25/06/2013,Road,,,,,
RE12224,RE122,NAD83,No,n_a,n_a,n_a,-114.495475,56.454974,GIS,point,63,TRUE,25/06/2013,Road,,,,,
RE12280,RE122,NAD83,No,n_a,n_a,n_a,-114.536202,56.474651,GPS,point,27,TRUE,25/06/2013,Road,,,,,
RE12301,RE123,NAD83,No,n_a,n_a,n_a,-114.385563,56.816486,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12302,RE123,NAD83,No,n_a,n_a,n_a,-114.383273,56.803158,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12303,RE123,NAD83,No,n_a,n_a,n_a,-114.382127,56.808079,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12304,RE123,NAD83,No,n_a,n_a,n_a,-114.380622,56.814289,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12305,RE123,NAD83,No,n_a,n_a,n_a,-114.379409,56.821133,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12308,RE123,NAD83,No,n_a,n_a,n_a,-114.37754,56.817466,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12309,RE123,NAD83,No,n_a,n_a,n_a,-114.37742,56.803564,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12310,RE123,NAD83,No,n_a,n_a,n_a,-114.371247,56.809044,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12311,RE123,NAD83,No,n_a,n_a,n_a,-114.37176,56.804839,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12313,RE123,NAD83,No,n_a,n_a,n_a,-114.369624,56.801676,GIS,point,19,TRUE,30/06/2013,Road,,,,,
RE12315,RE123,NAD83,No,n_a,n_a,n_a,-114.364847,56.815134,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12316,RE123,NAD83,No,n_a,n_a,n_a,-114.358324,56.820181,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12317,RE123,NAD83,No,n_a,n_a,n_a,-114.357674,56.816973,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12320,RE123,NAD83,No,n_a,n_a,n_a,-114.353476,56.801485,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12321,RE123,NAD83,No,n_a,n_a,n_a,-114.347255,56.806453,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12322,RE123,NAD83,No,n_a,n_a,n_a,-114.344427,56.809537,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12323,RE123,NAD83,No,n_a,n_a,n_a,-114.342755,56.814421,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12324,RE123,NAD83,No,n_a,n_a,n_a,-114.341194,56.819161,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12325,RE123,NAD83,No,n_a,n_a,n_a,-114.339376,56.803151,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12326,RE123,NAD83,No,n_a,n_a,n_a,-114.33457,56.821792,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12327,RE123,NAD83,No,n_a,n_a,n_a,-114.335709,56.808785,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12328,RE123,NAD83,No,n_a,n_a,n_a,-114.333909,56.81873,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12329,RE123,NAD83,No,n_a,n_a,n_a,-114.332598,56.811486,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12330,RE123,NAD83,No,n_a,n_a,n_a,-114.326472,56.818847,GIS,point,27,TRUE,30/06/2013,Road,,,,,
RE12331,RE123,NAD83,No,n_a,n_a,n_a,-114.328514,56.800589,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12332,RE123,NAD83,No,n_a,n_a,n_a,-114.323188,56.810675,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12334,RE123,NAD83,No,n_a,n_a,n_a,-114.32264,56.801419,GIS,point,63,TRUE,30/06/2013,Road,,,,,
RE12380,RE123,NAD83,No,n_a,n_a,n_a,-114.364423,56.820301,GPS,point,27,TRUE,30/06/2013,Road,,,,,
RE12502,RE125,NAD83,No,n_a,n_a,n_a,-114.98398,57.23881,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12505,RE125,NAD83,No,n_a,n_a,n_a,-114.981908,57.23431,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12506,RE125,NAD83,No,n_a,n_a,n_a,-114.979383,57.245478,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12508,RE125,NAD83,No,n_a,n_a,n_a,-114.979239,57.237042,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12509,RE125,NAD83,No,n_a,n_a,n_a,-114.976861,57.249094,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12510,RE125,NAD83,No,n_a,n_a,n_a,-114.97226,57.256726,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12511,RE125,NAD83,No,n_a,n_a,n_a,-114.970477,57.261787,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12512,RE125,NAD83,No,n_a,n_a,n_a,-114.970483,57.253431,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12513,RE125,NAD83,No,n_a,n_a,n_a,-114.974059,57.228363,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12514,RE125,NAD83,No,n_a,n_a,n_a,-114.97065,57.230692,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12515,RE125,NAD83,No,n_a,n_a,n_a,-114.966631,57.250859,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12516,RE125,NAD83,No,n_a,n_a,n_a,-114.961577,57.264597,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12517,RE125,NAD83,No,n_a,n_a,n_a,-114.96695,57.226192,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12518,RE125,NAD83,No,n_a,n_a,n_a,-114.965026,57.22354,GIS,point,19,TRUE,24/06/2013,Road,,,,,
RE12519,RE125,NAD83,No,n_a,n_a,n_a,-114.954903,57.264916,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12520,RE125,NAD83,No,n_a,n_a,n_a,-114.955366,57.250213,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12521,RE125,NAD83,No,n_a,n_a,n_a,-114.953128,57.261782,GIS,point,27,TRUE,24/06/2013,Road,,,,,
RE12522,RE125,NAD83,No,n_a,n_a,n_a,-114.952543,57.255354,GIS,point,63,TRUE,24/06/2013,Road,,,,,
RE12527,RE125,NAD83,No,n_a,n_a,n_a,-114.943071,57.244985,GIS,point,63,TRUE,24/06/2013,Road,,,,,
RE12528,RE125,NAD83,No,n_a,n_a,n_a,-114.937138,57.247553,GIS,point,63,TRUE,24/06/2013,Road,,,,,
