WA20204P-140622-046,WA20204P,WA20204P-1,22/06/2014,5:51:00 AM,n_a,1,28,WETA,1,4,3,S,,,A,M,,,,,
WA20205G-140622-001,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,SWTH,1,1,2,S,,,A,M,,,,,
WA20205G-140622-002,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,WIWR,3,1,2,S,,,A,M,,,,,
WA20205G-140622-003,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,YRWA,1,1,1,S,,,A,M,,,,,
WA20205G-140622-004,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,CMWA,3,1,1,S,,,A,M,CS,,,,
WA20205G-140622-005,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,RCKI,3,1,1,S,,,A,M,,,,,
WA20205G-140622-006,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,RESQ,1,2,1,C,,,U,U,,,,,
WA20205G-140622-007,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,SWTH,1,2,1,S,,,A,M,,,,,
WA20205G-140622-008,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,RBNU,1,3,1,S,,,A,M,,,,,
WA20205G-140622-009,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,TEWA,1,3,1,S,,,A,M,,,,,
WA20205G-140622-010,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,CMWA,1,3,1,S,,,A,M,CS,,,,
WA20205G-140622-011,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,CHSP,1,4,1,S,,,A,M,,,,,
WA20205G-140622-012,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,MAWA,1,4,1,S,,,A,M,,,,,
WA20205G-140622-013,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,WETA,1,4,1,S,,,A,M,,,,,
WA20205G-140622-014,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,SWTH,1,4,1,S,,,A,M,,,,,
WA20205G-140622-015,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,WTSP,1,4,2,S,,,A,M,,,,,
WA20205G-140622-016,WA20205G,WA20205G-1,22/06/2014,8:05:00 AM,n_a,1,32,WTSP,1,4,2,S,,,A,M,,,,,
WA20206G-140622-001,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
WA20206G-140622-002,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,WWCR,1,1,1,C,,,U,U,FO,,,,
WA20206G-140622-003,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,CEDW,1,1,1,C,,,A,U,,,,,
WA20206G-140622-004,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,WIWR,3,1,1,S,,,A,M,,,,,
WA20206G-140622-005,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,DOWO,1,1,2,C,,,A,U,,,,,
WA20206G-140622-006,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,DOWO,1,1,2,C,,,J,U,BE,,,,Begging calls at nest
WA20206G-140622-007,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,YRWA,1,3,1,S,,,A,M,,,,,
WA20206G-140622-008,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,OVEN,1,3,2,S,,,A,M,,,,,
WA20206G-140622-009,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,WETA,1,3,2,S,,,A,M,,,,,
WA20206G-140622-010,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,BBWA,1,4,1,S,,,A,M,,,,,
WA20206G-140622-011,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,TEWA,1,4,1,S,,,A,M,,,,,
WA20206G-140622-012,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,YRWA,3,4,2,S,,,A,M,,,,,
WA20206G-140622-013,WA20206G,WA20206G-1,22/06/2014,5:40:00 AM,n_a,1,32,CHSP,1,4,2,S,,,A,M,,,,,
WA20207G-140622-001,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,TEWA,1,1,2,S,,,A,M,,,,,
WA20207G-140622-002,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,TEWA,1,2,1,S,,,A,M,,,,,
WA20207G-140622-003,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,BHVI,5,2,2,S,,,A,M,,,,,
WA20207G-140622-004,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,BBWA,1,3,1,S,,,A,M,,,,,
WA20207G-140622-005,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,YRWA,3,3,2,S,,,A,M,,,,,
WA20207G-140622-006,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,TEWA,1,3,2,S,,,A,M,,,,,
WA20207G-140622-007,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,WETA,1,3,2,S,,,A,M,,,,,
WA20207G-140622-008,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,SWTH,1,4,1,S,,,A,M,,,,,
WA20207G-140622-009,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,YRWA,1,4,1,S,,,A,M,,,,,
WA20207G-140622-010,WA20207G,WA20207G-1,22/06/2014,8:55:00 AM,n_a,1,32,COLO,1,4,3,C,,,A,U,FO,,,,
WA20207N-140622-001,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,CEDW,5,1,1,C,,,A,U,FO,,,,
WA20207N-140622-002,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,OVEN,1,1,1,S,,,A,M,CS,,,,
WA20207N-140622-003,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,OVEN,1,2,1,S,,,A,M,CS,,,,
WA20207N-140622-004,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,OVEN,5,4,1,S,,,A,M,CS,,,,
WA20207N-140622-005,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,BBWA,3,1,1,S,V,,A,M,,,,Fighting with yrwa,
WA20207N-140622-006,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,YRWA,3,2,1,C,,,A,M,CF,,,Fighting with bbwa,
WA20207N-140622-007,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-008,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-009,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-010,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-011,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-012,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-013,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-014,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-015,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-016,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-017,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-018,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-019,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-020,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-021,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-022,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-023,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-024,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-025,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-026,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-027,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-028,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-029,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-030,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-031,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-032,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-033,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-034,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-035,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-036,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-037,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-038,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-039,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-040,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-041,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-042,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-043,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-044,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-045,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-046,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,DCCO,,2,1,V,,,A,U,FO,FL,,forgot to record time period,
WA20207N-140622-047,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,REVI,5,2,1,S,,,A,M,,,,,
WA20207N-140622-048,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,REVI,5,3,1,S,,,A,M,,,,,
WA20207N-140622-049,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,SWTH,1,1,2,S,C,,A,M,,,,,
WA20207N-140622-050,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,SOSA,1,1,3,C,,,A,U,,,,,
WA20207N-140622-051,WA20207N,WA20207N-1,22/06/2014,7:11:00 AM,n_a,1,28,SWTH,1,4,3,S,C,,A,M,,,,,
WA20207P-140622-001,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,DEJU,1,2,1,V,C,,A,F,FG,,,,
WA20207P-140622-002,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,DEJU,1,2,1,V,C,,F,U,,,,,
WA20207P-140622-003,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,DEJU,1,2,1,V,C,,F,U,,,,,
WA20207P-140622-004,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,DEJU,1,2,1,S,C,V,A,M,,,,,
WA20207P-140622-005,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,TEWA,1,2,1,S,,,A,M,CS,,,,
WA20207P-140622-006,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,TEWA,1,4,1,S,,,A,M,CS,,,,
WA20207P-140622-007,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,YRWA,1,2,1,S,,,A,M,,,,,
WA20207P-140622-008,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,RESQ,5,2,1,C,,,U,U,,,,,
WA20207P-140622-009,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,CHSP,5,3,1,C,,,A,U,,,,,
WA20207P-140622-010,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,CHSP,3,4,1,S,,,A,M,,,,,
WA20207P-140622-011,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,OVEN,1,4,1,S,,,A,M,,,,,
WA20207P-140622-012,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,OVEN,1,3,2,S,,,A,M,,,,,
WA20207P-140622-013,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,OVEN,1,4,2,S,,,A,M,,,,,
WA20207P-140622-014,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,RESQ,3,4,1,C,,,U,U,,,,,
WA20207P-140622-015,WA20207P,WA20207P-1,22/06/2014,9:01:00 AM,n_a,1,28,WISN,3,1,2,S,,,A,U,WI,,,,
WA20208G-140622-001,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,YRWA,1,1,2,S,,,A,M,,,,,
WA20208G-140622-002,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,RBGR,1,1,2,S,,,A,M,,,,,
WA20208G-140622-003,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,YBSA,1,1,2,C,,,A,U,,,,,
WA20208G-140622-004,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,UNVI,1,1,2,S,,,A,M,,,,,Sang too briefly to be identified
WA20208G-140622-005,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,TEWA,5,2,1,S,,,A,M,,,,,
WA20208G-140622-006,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,GRAJ,3,2,2,C,,,U,U,,,,,
WA20208G-140622-007,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,OVEN,1,2,2,S,,,A,M,,,,,
WA20208G-140622-008,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,YRWA,5,3,1,S,,,A,M,,,,,
WA20208G-140622-009,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,OVEN,1,3,2,S,,,A,M,,,,,
WA20208G-140622-010,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,SWTH,1,4,2,S,,,A,M,,,,,
WA20208G-140622-011,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,OVEN,1,4,2,S,,,A,M,,,,,
WA20208G-140622-012,WA20208G,WA20208G-1,22/06/2014,9:25:00 AM,n_a,1,32,WTSP,3,4,3,S,,,A,M,,,,,
WA20209G-140622-001,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,OVEN,3,1,3,S,,,A,M,,,,,
WA20209G-140622-002,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,MAWA,3,1,3,S,,,A,M,,,,,
WA20209G-140622-003,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SWSP,5,1,2,S,,,A,M,,,,,
WA20209G-140622-004,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SWSP,5,1,2,S,,,A,M,,,,,
WA20209G-140622-005,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SACR,1,1,1,C,V,,A,P,DC,,,,
WA20209G-140622-006,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SACR,1,1,1,C,V,,A,P,DC,,,,
WA20209G-140622-007,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,TRES,1,1,1,C,,,A,U,FT,,,,
WA20209G-140622-008,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SWSP,1,1,1,S,,,A,M,,,,,
WA20209G-140622-009,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SOSA,1,2,1,C,V,,A,U,,,,,
WA20209G-140622-010,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,LCSP,1,2,1,S,,,A,M,,,,,
WA20209G-140622-011,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,WISN,5,2,1,C,,,A,U,,,,,
WA20209G-140622-012,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,GRYE,1,2,2,C,V,,A,P,DC,,,,
WA20209G-140622-013,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,GRYE,1,2,2,C,V,,A,P,DC,,,,
WA20209G-140622-014,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,GWTE,1,3,1,V,,,A,U,FT,,,,Takes off from stream
WA20209G-140622-015,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,MALL,1,3,1,V,,,A,F,,,,,
WA20209G-140622-016,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,COYE,5,3,2,S,,,A,M,,,,,
WA20209G-140622-017,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,LEYE,1,4,1,C,V,,A,P,DC,,,,
WA20209G-140622-018,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,LEYE,1,4,1,C,V,,A,P,DC,,,,
WA20209G-140622-019,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,ALFL,5,4,2,C,,,A,U,,,,,
WA20209G-140622-020,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,LCSP,1,4,2,S,,,A,M,,,,,
WA20209G-140622-021,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,WTSP,1,4,2,S,,,A,M,,,,,
WA20209G-140622-022,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,SWSP,5,4,2,S,,,A,M,,,,,
WA20209G-140622-023,WA20209G,WA20209G-1,22/06/2014,5:00:00 AM,n_a,1,32,WETA,1,4,3,S,,,A,M,,,,,
WA20501G-140617-001,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,CHSP,1,1,2,S,,,A,M,,,,,
WA20501G-140617-002,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,YBFL,1,1,2,S,,,A,M,,,,,
WA20501G-140617-003,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,DEJU,1,1,1,S,,,A,M,,,,,
WA20501G-140617-004,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,SWTH,1,2,2,S,,,A,M,,,,,
WA20501G-140617-005,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,YRWA,1,3,2,S,,,A,M,,,,,
WA20501G-140617-006,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,WIWR,1,3,2,S,,,A,M,,,,,
WA20501G-140617-007,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,WETA,1,4,2,S,,,A,M,,,,,
WA20501G-140617-008,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,DEJU,1,4,2,S,,,A,M,,,,,
WA20501G-140617-009,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,WIWA,5,4,2,S,,,A,M,,,,,
WA20501G-140617-010,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,RCKI,5,4,1,S,,,A,M,,,,,
WA20501G-140617-011,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,WIWA,5,4,1,S,,,A,M,,,,,
WA20501G-140617-012,WA20501G,WA20501G-1,17/06/2014,6:39:00 AM,n_a,1,32,SWTH,1,4,1,S,,,A,M,,,,,
WA20501N-140617-001,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,LISP,1,1,1,C,,,A,U,,,,,
WA20501N-140617-002,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,MOWA,1,2,1,S,,,A,M,,,,,
WA20501N-140617-003,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,TEWA,1,2,1,S,,,A,M,,,,,
WA20501N-140617-004,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,TEWA,1,4,1,S,,,A,M,,,,,
WA20501N-140617-005,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,TEWA,1,3,2,S,,,A,M,,,,,
WA20501N-140617-006,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,COYE,1,2,1,S,,,A,M,,,,,
WA20501N-140617-007,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,COYE,1,2,2,S,,,A,M,,,,,
WA20501N-140617-008,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,CCSP,1,4,1,S,,,A,M,,,,,
WA20501N-140617-009,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,ALFL,1,1,2,S,,,A,M,,,,,
WA20501N-140617-010,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,ALFL,1,4,2,S,,,A,M,,,,,
WA20501N-140617-011,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,SWTH,1,2,2,S,,,A,M,,,,,
WA20501N-140617-012,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,HETH,1,3,2,S,,,A,M,,,,,
WA20501N-140617-013,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,BBWO,5,4,2,C,,,A,U,,,,,
WA20501N-140617-014,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,WTSP,,4,2,C,,,A,U,,,,,
WA20501N-140617-015,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,WTSP,1,4,3,S,,,A,M,,,,,
WA20501N-140617-016,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,GRAJ,5,2,3,C,,,U,U,,,,,
WA20501N-140617-017,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,RCKI,5,3,3,S,,,A,M,,,,,
WA20501N-140617-018,WA20501N,WA20501N-1,17/06/2014,9:59:00 AM,n_a,1,28,GRYE,1,4,3,C,,,A,U,,,,,
WA20501R-140617-001,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,SWTH,1,1,1,S,,,A,M,,,,,
WA20501R-140617-002,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,SWTH,1,3,2,S,,,A,M,,,,,
WA20501R-140617-003,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,SWTH,1,4,2,S,,,A,M,,,,,
WA20501R-140617-004,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,CHSP,5,1,1,S,,,A,M,,,,,
WA20501R-140617-005,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,CHSP,5,1,3,S,,,A,M,,,,,
WA20501R-140617-006,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,OVEN,1,1,1,S,,,A,M,CS,,,,
WA20501R-140617-007,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,OVEN,1,2,1,S,,,A,M,CS,,,,
WA20501R-140617-008,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,MOWA,5,1,1,C,,,A,U,,,,,
WA20501R-140617-009,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,MOWA,1,2,2,S,,,A,M,,,,,
WA20501R-140617-010,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,MOWA,1,1,3,S,,,A,M,,,,,
WA20501R-140617-011,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,LISP,3,1,1,S,,,A,M,,,,,
WA20501R-140617-012,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,CAWA,1,2,1,S,,,A,M,,,,,
WA20501R-140617-013,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,RBNU,1,2,1,C,,,U,U,,,,,
WA20501R-140617-014,WA20501R,WA20501R-1,17/06/2014,9:25:00 AM,n_a,1,28,WTSP,3,3,1,C,,,A,U,,,,,
