6/30/2014,FT21205G,FT21205G-1,28,7:20:00 AM,n_a,1,0,0,16,0,0,0,15.4,0,7:30:00 AM,1,N,
6/30/2014,FT21205N,FT21205N-1,32,7:20:00 AM,n_a,1,0,0,17.1,0,0,0,16.4,0,7:30:00 AM,1,N,Noise: Access road traffic
6/30/2014,FT21205W,FT21205W-1,32,8:00:00 AM,n_a,1,2,0,21.9,0,1,0,20.3,0,8:10:00 AM,1,N,Noise: Access road traffic
6/30/2014,FT21206G,FT21206G-1,28,6:51:00 AM,n_a,1,0,0,13.2,0,0,0,15.2,0,7:01:00 AM,1,N,
6/30/2014,FT21206N,FT21206N-1,32,6:50:00 AM,n_a,1,0,0,14.6,0,0,0,14.2,0,7:00:00 AM,2,N,Noise: Access road traffic
6/30/2014,FT21206S,FT21206S-1,32,6:45:00 AM,n_a,1,0,0,13.5,1,,,,,6:55:00 AM,0,N,
6/30/2014,FT21207G,FT21207G-1,28,8:27:00 AM,n_a,1,2,0,21.6,0,2,0,22.6,0,8:37:00 AM,2,N,30m from Athebasca Hwy E. Periodic traffic
6/30/2014,FT21207N,FT21207N-1,32,5:20:00 AM,n_a,1,0,0,14.6,1,0,0,13.2,1,5:30:00 AM,2,N,Noise: road in distance
6/30/2014,FT21207W,FT21207W-1,32,5:50:00 AM,n_a,1,0,0,12.7,1,0,0,12.2,1,6:00:00 AM,1,N,Noise: Access road traffic
6/30/2014,FT21208G,FT21208G-1,28,7:52:00 AM,n_a,1,2,0,19.2,0,2,0,19.6,0,8:02:00 AM,2,N,80m from Athaabasca Hwy E.
6/30/2014,FT21209G,FT21209G-1,28,4:33:00 AM,n_a,1,0,0,15.4,0,0,0,12,0,4:43:00 AM,2,N,180m from Athabasca Hwy E
6/29/2014,FT21301G,FT21301G-1,32,5:55:00 AM,n_a,1,0,0,12.1,1,0,0,11.8,1,6:05:00 AM,1,N,Noise: Highway 63 in distance
6/29/2014,FT21302G,FT21302G-1,28,6:58:00 AM,n_a,1,0,0,14.4,0,0,0,13.4,0,7:08:00 AM,1,N,
6/29/2014,FT21303G,FT21303G-1,28,9:14:00 AM,n_a,1,2,0,21.5,0,2,0,21.1,0,9:24:00 AM,1,N,Noisy deer flies
6/29/2014,FT21304G,FT21304G-1,28,8:48:00 AM,n_a,1,0,0,21.8,0,1,0,27.2,0,8:58:00 AM,1,N,
6/29/2014,FT21305G,FT21305G-1,28,7:29:00 AM,n_a,1,0,0,13.2,0,0,0,13.7,0,7:39:00 AM,1,N,Noise from tar sands machinery and canons
6/29/2014,FT21306G,FT21306G-1,32,6:25:00 AM,n_a,1,0,0,11.1,0,0,0,10.9,0,6:35:00 AM,1,N,Noise: Highway 63 + mosquitoes
6/29/2014,FT21306N,FT21306N-1,32,8:20:00 AM,n_a,1,0,0,16.1,0,3,0,16.6,0,8:30:00 AM,0,N,
6/29/2014,FT21306P,FT21306P-1,32,7:30:00 AM,n_a,1,0,0,15.5,0,0,0,18.9,0,7:40:00 AM,1,N,Noise: from highway 63 + mosquites. Pipeline is 40m wide
6/29/2014,FT21307G,FT21307G-1,32,6:50:00 AM,n_a,1,0,0,11.4,0,0,0,11.4,0,7:00:00 AM,1,N,
6/29/2014,FT21307N,FT21307N-1,32,8:45:00 AM,n_a,1,3,0,17.3,0,4,0,17.7,0,8:55:00 AM,1,N,Noise: Mosquitoes and MOSA bird scraing cannons
6/29/2014,FT21307W,FT21307W-1,32,7:55:00 AM,n_a,1,2,0,16.4,0,1,0,15.6,0,8:05:00 AM,1,N,Noise: mosquitoes and bird scaring cannon from MOSA. Well pad is 40x40m
6/29/2014,FT21308G,FT21308G-1,28,7:55:00 AM,n_a,1,0,0,20.7,0,0,0,20.3,0,8:05:00 AM,1,N,
6/29/2014,FT21309G,FT21309G-1,28,8:22:00 AM,n_a,1,1,0,17.6,0,1,0,18.1,0,8:32:00 AM,1,N,
06/10/2014,FT21801G,FT21801G-1,32,8:22:00 AM,n_a,1,1,0,11,0,2,0,11,0,8:32:00 AM,0,Y,
06/10/2014,FT21802G,FT21802G-1,32,8:47:00 AM,n_a,1,0,0,10.2,0,0,0,10,0,8:57:00 AM,0,Y,
06/10/2014,FT21803G,FT21803G-1,32,8:15:00 AM,n_a,1,0,0,8.5,0,0,0,9.3,0,8:25:00 AM,1,Y,Very noisy frogs sp.!
06/10/2014,FT21803N,FT21803N-1,87,7:06:00 AM,n_a,1,1,0,6.7,0,1,0,6.9,0,7:16:00 AM,2,Y,Intermitent cannon and machinery.
06/10/2014,FT21803S,FT21803S-1,87,7:48:00 AM,n_a,1,1,0,10,0,1,0,9.9,0,7:58:00 AM,2,Y,Intermitent cannon and machinery.
06/10/2014,FT21804G,FT21804G-1,32,7:45:00 AM,n_a,1,0,0,7.4,0,0,0,7.6,0,7:55:00 AM,0,N,
06/10/2014,FT21804N,FT21804N-1,87,6:20:00 AM,n_a,1,0,0,7.1,0,2,0,5.7,0,6:30:00 AM,2,Y,Intermitent cannon and machinery.
06/10/2014,FT21804W,FT21804W-1,87,5:30:00 AM,n_a,1,2,0,6.2,1,1,0,5,1,5:40:00 AM,2,Y,"Intermitent cannon and machinery.  Wolves.  After the PC, a BOOW,  CHSP, and SWTH sang within 50m and two GRAJ adults flew into area."
06/10/2014,FT21805G,FT21805G-1,32,7:00:00 AM,n_a,1,0,0,5.8,0,0,0,6.1,0,7:10:00 AM,1,N,Noise from distant CNRL plant in MOSA
06/10/2014,FT21805N,FT21805N-1,87,8:50:00 AM,n_a,1,1,0,12.5,0,0,0,11.5,0,9:00:00 AM,2,Y,Intermitent cannon and machinery.
06/10/2014,FT21805S,FT21805S-1,87,4:44:00 AM,n_a,1,2,0,9.6,1,2,0,6.6,1,4:54:00 AM,2,Y,Intermitent cannon.
06/10/2014,FT21806G,FT21806G-1,32,4:45:00 AM,n_a,1,0,0,6.6,0,1,0,5.8,0,4:55:00 AM,1,Y,Noise from distant CNRL plant in MOSA
06/10/2014,FT21808G,FT21808G-1,32,5:57:00 AM,n_a,1,1,0,5.7,0,0,0,5.4,0,6:07:00 AM,1,Y,Noise from distant CNRL plant in MOSA
06/10/2014,FT21809G,FT21809G-1,32,6:25:00 AM,n_a,1,0,0,5.5,0,0,0,5.5,0,6:35:00 AM,1,Y,Noise from distant CNRL plant in MOSA
06/10/2014,FT21890G,FT21890G-1,32,5:25:00 AM,n_a,1,2,0,5.7,1,1,0,6.2,1,5:35:00 AM,1,Y,Noise from distant CNRL plant in MOSA. New location of 7N which was too noisy.
06/09/2014,FT21901G,FT21901G-1,32,8:10:00 AM,n_a,1,3,2,12.7,3,3,2,12.5,3,8:20:00 AM,0,N,
06/09/2014,FT21902G,FT21902G-1,32,6:25:00 AM,n_a,1,0,0,12.3,3,0,0,12.2,3,6:35:00 AM,0,N,
06/09/2014,FT21902N,FT21902N-1,87,5:04:00 AM,n_a,1,2,0,14.1,2,2,0,11.5,2,5:14:00 AM,0,N,Wind gusts.  Mostly high thin clouds.  Another TTWO drummed before the PC.
06/09/2014,FT21902S,FT21902S-1,87,5:44:00 AM,n_a,1,2,0,13.3,3,3,0,12.4,3,5:54:00 AM,0,N,"Entire area is burned, like a savannah, with a small band of trees to the NW about 100m from the PC center and a thin small stand to the West about 20m from PC center.  Regenerating: grasses, sedges, Bear Berry and Blue Berry plus POPUTRE and PRUNVIR. "
06/09/2014,FT21903G,FT21903G-1,32,6:14:00 AM,n_a,1,2,0,12.1,3,1,0,12.1,3,6:24:00 AM,0,N,
06/09/2014,FT21903N,FT21903N-1,87,6:51:00 AM,n_a,1,0,0,12.8,3,2,0,12.1,3,7:01:00 AM,1,N,High thin clouds; boom of cannon.  Calling RESQ before PC.
06/09/2014,FT21903S,FT21903S-1,87,6:13:00 AM,n_a,1,1,0,12.6,3,2,0,11.6,3,6:23:00 AM,0,N,"UNGR is not fully drumming, just thudding a bit.  Two other WTSP further North were likely recorded on PC02S."
06/09/2014,FT21904G,FT21904G-1,32,5:40:00 AM,n_a,1,0,0,11.8,3,2,0,12.2,3,5:50:00 AM,0,N,
06/09/2014,FT21904N,FT21904N-1,87,8:02:00 AM,n_a,1,2,3,12.3,3,2,2,11.6,3,8:12:00 AM,1,N,"Delayed PC due to rain.  A LEFL within 50m in NE, REVI, and a YRWA within 50m inNW sang on the hike into the PC. Wind gusts to 3 at ground level and 5 in the canopy.   "
06/09/2014,FT21904S,FT21904S-1,87,7:28:00 AM,n_a,1,1,2,14.1,3,1,0,14.3,3,7:38:00 AM,1,N,A PHVI flew in from the NW after the PC.  **Double check the HETH and SWTH on recorder**
06/09/2014,FT21905G,FT21905G-1,32,6:47:00 AM,n_a,1,0,0,12.4,3,0,0,12.4,3,6:57:00 AM,0,N,
06/09/2014,FT21906G,FT21906G-1,32,7:55:00 AM,n_a,1,0,0,13,3,3,2,12.8,3,8:05:00 AM,0,N,
06/09/2014,FT21907G,FT21907G-1,32,7:30:00 AM,n_a,1,0,0,12.8,3,2,0,12.7,3,7:40:00 AM,0,N,
06/09/2014,FT21908G,FT21908G-1,32,7:05:00 AM,n_a,1,0,0,12.4,3,0,0,12.4,3,7:15:00 AM,0,N,
06/09/2014,FT21909G,FT21909G-1,32,5:09:00 AM,n_a,1,0,0,,3,0,0,11.8,3,5:19:00 AM,0,N,No start temperature
07/01/2014,FT22101G,FT22101G-1,63,6:08:00 AM,n_a,1,0,0,12,3,0,0,12,3,6:18:00 AM,0,N,
07/01/2014,FT22102G,FT22102G-1,63,6:45:00 AM,n_a,1,0,0,13,3,0,0,13,3,6:55:00 AM,1,N,propane air cannon deterrents heard (?? >20 km away)
07/01/2014,FT22102N,FT22102N-1,26,8:34:00 AM,n_a,1,0,0,18.5,3,1,0,19.1,3,8:44:00 AM,1,N,NOISE IS DUE TO MOSQUITOES
07/01/2014,FT22102S,FT22102S-1,87,8:00:00 AM,n_a,1,0,0,16.8,3,0,0,20.2,3,8:10:00 AM,1,N,Dragonflies and Mosquito noise.  Two GRAJ called within 50m to NE before PC and a RCKI sang 50-100m after the PC.
07/01/2014,FT22103G,FT22103G-1,63,7:10:00 AM,n_a,1,0,0,14,3,0,0,14,3,7:20:00 AM,0,N,
07/01/2014,FT22104G,FT22104G-1,63,5:33:00 AM,n_a,1,0,0,12,3,0,0,12,3,5:43:00 AM,0,N,
07/01/2014,FT22104N,FT22104N-1,87,6:16:00 AM,n_a,1,0,0,15.8,3,1,0,14.6,3,6:26:00 AM,1,N,"Machine/cannon thudding in East.  Two countersinging BBWA within 50m, one in SW and one in SE after the PC>"
07/01/2014,FT22105G,FT22105G-1,63,8:18:00 AM,n_a,1,0,0,15,3,0,0,15,3,8:28:00 AM,0,N,
07/01/2014,FT22106G,FT22106G-1,63,7:50:00 AM,n_a,1,0,0,14,3,0,0,14,3,8:00:00 AM,0,N,
07/01/2014,FT22107G,FT22107G-1,63,5:06:00 AM,n_a,1,0,0,11,3,0,0,11,3,5:16:00 AM,0,N,
07/01/2014,FT22107N,FT22107N-1,26,6:08:00 AM,n_a,1,0,0,12.2,3,0,0,11.5,3,6:18:00 AM,2,N,NOISE IS DUE TO TOO MANY MOSQUITOES!
07/01/2014,FT22107S,FT22107S-1,26,7:15:00 AM,n_a,1,0,0,14.4,3,0,0,15.2,3,7:25:00 AM,2,N,NOISE DUE TO AIR TRAFFIC AND MOSQUITOES
07/01/2014,FT22108G,FT22108G-1,63,4:26:00 AM,n_a,1,0,0,10,3,0,0,10,3,4:36:00 AM,0,N,
07/01/2014,FT22108N,FT22108N-1,87,7:11:00 AM,n_a,1,2,0,14.9,3,2,0,15.1,3,7:21:00 AM,1,N,Mosquitos.  High thin clouds.
07/01/2014,FT22108S,FT22108S-1,26,6:44:00 AM,n_a,1,0,0,13.5,3,0,0,13.5,3,6:54:00 AM,2,N,NOISE DUE TO TOO MANY MOSQUITOES!
07/01/2014,FT22109G,FT22109G-1,63,4:04:00 AM,n_a,1,0,0,9,3,0,0,9,3,4:14:00 AM,0,N,
07/01/2014,FT22174S,FT22174S-1,87,4:42:00 AM,n_a,1,0,0,12,3,0,0,11.7,3,4:52:00 AM,1,N,Mosquitos noise.  This is a wide SL.
07/01/2014,FT22176N,FT22176N-1,26,4:58:00 AM,n_a,1,0,0,13.2,3,0,0,8.5,3,5:08:00 AM,0,N,
07/01/2014,FT22176S,FT22176S-1,87,4:06:00 AM,n_a,1,0,0,14.1,3,0,0,9.9,3,4:16:00 AM,1,N,"Mosquitos.  This is a wide seismic line, possibly a PL.  An AMRO called and BHVI sang 50-100m to NW after PC."
06/06/2014,FT22201G,FT22201G-1,28,7:45:00 AM,n_a,1,0,0,7,1,0,0,6,0,7:55:00 AM,0,N,
06/06/2014,FT22201N,FT22201N-1,26,5:17:00 AM,n_a,1,0,0,3.6,3,0,0,2.2,3,5:27:00 AM,1,N,NOISE DUE TO DISTANT POUNDING
06/06/2014,FT22201S,FT22201S-1,26,4:38:00 AM,n_a,1,0,0,4.3,3,0,0,1,3,4:48:00 AM,1,N,NOISE IS DUE TO DISTANT POUNDING. SEISMIC LINE IS ~3M WIDE
06/06/2014,FT22202G,FT22202G-1,28,8:27:00 AM,n_a,1,0,0,8.7,1,1,0,7.7,1,8:37:00 AM,0,N,
06/06/2014,FT22202N,FT22202N-1,26,5:52:00 AM,n_a,1,0,0,4.1,3,0,0,3,3,6:02:00 AM,1,N,NOISE DUE TO DISTANT POUNDING 
06/06/2014,FT22202S,FT22202S-1,26,8:58:00 AM,n_a,1,1,0,8,1,1,0,7.3,1,9:08:00 AM,1,N,NOISE IS DUE TO POUNDING IN THE DISTANCE
06/06/2014,FT22203G,FT22203G-1,28,9:27:00 AM,n_a,1,1,0,11.8,1,2,0,10.5,1,9:37:00 AM,0,N,
06/06/2014,FT22203N,FT22203N-1,26,6:47:00 AM,n_a,1,0,0,6.3,2,0,0,6.2,2,6:57:00 AM,1,N,NOISE DUE TO FAINT POUNDING IN THE DISTANCE
06/06/2014,FT22203S,FT22203S-1,26,7:35:00 AM,n_a,1,0,0,6.3,2,0,0,7.4,1,7:45:00 AM,1,N,NOISE DUE TO DISTANT POUNDING. SEISMIC LINE ~3M WIDE
06/06/2014,FT22204G,FT22204G-1,28,7:04:00 AM,n_a,1,0,0,6.5,2,0,0,5.7,2,7:14:00 AM,0,N,BWHA + WWCR detected after PC
06/06/2014,FT22204N,FT22204N-1,26,8:18:00 AM,n_a,1,1,0,7.5,1,1,0,8.1,1,8:28:00 AM,1,N,NOISE DUE TO DISTANT POUNDING.  
06/06/2014,FT22205G,FT22205G-1,28,8:56:00 AM,n_a,1,1,0,9.1,1,,,,,9:06:00 AM,0,N,forgot to record weather at end of count
06/06/2014,FT22205N,FT22205N-1,87,9:45:00 AM,n_a,1,3,0,11.5,2,3,0,11.8,1,9:55:00 AM,0,N,Wind gusts.   **Notes for P 97 are on Site Notes tab; unable to enter into P 97*
06/06/2014,FT22205S,FT22205S-1,28,10:08:00 AM,n_a,1,1,0,12.9,1,2,0,11.8,1,10:18:00 AM,0,N,Noise up to 2 after 5 minues (due to heli)
06/06/2014,FT22206G,FT22206G-1,28,4:26:00 AM,n_a,1,0,0,3.5,3,0,0,2.7,3,4:36:00 AM,1,N,Helicoperter flew over mid-count
06/06/2014,FT22206N,FT22206N-1,87,5:12:00 AM,n_a,1,2,0,5.5,3,2,0,2.9,3,5:22:00 AM,1,N,
06/06/2014,FT22206S,FT22206S-1,87,6:20:00 AM,n_a,1,1,0,4.7,3,2,0,4.5,3,6:30:00 AM,0,N,
06/06/2014,FT22207G,FT22207G-1,28,6:31:00 AM,n_a,1,0,0,5.4,2,0,0,5,2,6:41:00 AM,0,N,
06/06/2014,FT22207N,FT22207N-1,87,7:24:00 AM,n_a,1,1,0,6.9,2,2,0,5.2,1,7:34:00 AM,0,N,RUGR fully drummed as I hiked in.
06/06/2014,FT22207S,FT22207S-1,87,8:42:00 AM,n_a,1,2,0,11.5,2,3,0,8.8,2,8:52:00 AM,1,N,Intermittent pounding and wind gusts to 3.   A COYE countersang from NW 50-100m with a COYE in NE after the PC.
06/06/2014,FT22208G,FT22208G-1,28,5:49:00 AM,n_a,1,0,0,2.9,3,,,,,5:59:00 AM,0,N,forgot to record weather at end of count
06/06/2014,FT22209G,FT22209G-1,28,5:08:00 AM,n_a,1,0,0,2.9,3,,,,,5:18:00 AM,0,N,forgot to record weather at end of count
06/06/2014,FT22301G,FT22301G-1,32,6:40:00 AM,n_a,1,0,0,4.3,3,0,0,4.6,3,6:50:00 AM,0,N,
06/06/2014,FT22302G,FT22302G-1,32,7:24:00 AM,n_a,1,1,0,5.7,2,1,0,5.6,2,7:34:00 AM,0,N,
06/06/2014,FT22303G,FT22303G-1,32,8:00:00 AM,n_a,1,1,0,6.9,2,1,0,7.9,2,8:10:00 AM,0,N,
06/06/2014,FT22304G,FT22304G-1,32,6:07:00 AM,n_a,1,0,0,2.2,3,0,0,2,3,6:17:00 AM,0,N,
06/06/2014,FT22305G,FT22305G-1,32,8:44:00 AM,n_a,1,1,0,9.9,2,0,0,8.9,2,8:54:00 AM,0,N,
06/06/2014,FT22306G,FT22306G-1,32,9:08:00 AM,n_a,1,0,0,9.4,2,0,0,8.3,2,9:18:00 AM,0,N,
06/06/2014,FT22306N,FT22306N-1,63,8:00:00 AM,n_a,1,0,0,3,1,0,0,3,2,8:10:00 AM,0,N,
06/06/2014,FT22306S,FT22306S-1,63,7:26:00 AM,n_a,1,0,0,2,2,0,0,2,2,7:36:00 AM,0,N,no seismic line visible anywhere nearby
06/06/2014,FT22307G,FT22307G-1,32,5:35:00 AM,n_a,1,0,0,3.1,3,0,0,1.3,3,5:45:00 AM,0,N,
06/06/2014,FT22307N,FT22307N-1,63,5:42:00 AM,n_a,1,0,0,1,3,0,0,1,3,5:52:00 AM,0,N,
06/06/2014,FT22307W,FT22307W-1,63,4:48:00 AM,n_a,1,0,0,1,3,0,0,1,3,4:58:00 AM,0,N,3+ wolves heard howling to E of PC
06/06/2014,FT22308G,FT22308G-1,32,10:00:00 AM,n_a,1,3,0,10.5,1,1,0,10.5,1,10:10:00 AM,0,N,
06/06/2014,FT22308N,FT22308N-1,63,6:15:00 AM,n_a,1,0,0,2,2,0,0,2,2,6:25:00 AM,0,N,
06/06/2014,FT22308S,FT22308S-1,63,9:20:00 AM,n_a,1,0,0,5,2,0,0,5,1,9:30:00 AM,0,N,
06/06/2014,FT22309G,FT22309G-1,32,9:32:00 AM,n_a,1,2,0,7.8,1,2,0,8.6,2,9:42:00 AM,0,N,
06/01/2014,HF20101G,HF20101G-1,63,5:12:00 AM,n_a,1,0,0,8,3,1,0,8,3,5:22:00 AM,0,Y,
06/01/2014,HF20101N,HF20101N-1,87,9:54:00 AM,n_a,1,2,0,12,3,2,0,11.9,3,10:04:00 AM,0,Y,Didn't record PC.
06/01/2014,HF20101S,HF20101S-1,87,8:59:00 AM,n_a,1,2,3,8.5,3,3,0,8.4,3,9:09:00 AM,0,Y,"Delayed PC due to heavier rain and did not record it.  First delay 1 1/2 hours, did 2:30 more, then another delay another hour and then another half hour delay."
06/01/2014,HF20102G,HF20102G-1,63,5:40:00 AM,n_a,1,1,0,8,2,1,0,8,2,5:50:00 AM,0,Y,Heli noise at ~3 mins
06/01/2014,HF20102N,HF20102N-1,87,6:43:00 AM,n_a,1,2,0,11.5,3,2,0,8.7,3,6:53:00 AM,0,Y,A WISN winnowed after the PC.
06/01/2014,HF20102S,HF20102S-1,87,5:57:00 AM,n_a,1,2,0,9.1,3,2,0,8.4,3,6:07:00 AM,0,Y,
06/01/2014,HF20103G,HF20103G-1,63,6:01:00 AM,n_a,1,0,0,9,3,0,0,9,3,6:11:00 AM,0,N,
06/01/2014,HF20103S,HF20103S-1,87,5:21:00 AM,n_a,1,3,0,9.9,1,2,0,8.5,3,5:31:00 AM,0,Y,
06/01/2014,HF20104G,HF20104G-1,63,6:23:00 AM,n_a,1,0,0,10,3,1,0,10,3,6:33:00 AM,0,N,
06/01/2014,HF20105G,HF20105G-1,63,6:52:00 AM,n_a,1,1,0,9,3,1,0,9,3,7:02:00 AM,0,N,GRAJ from PC 05G heard >200 m
06/01/2014,HF20106G,HF20106G-1,63,7:20:00 AM,n_a,1,0,1,9,3,0,1,9,3,7:30:00 AM,0,N,
06/01/2014,HF20107G,HF20107G-1,63,8:23:00 AM,n_a,1,0,2,10,3,0,3,10,3,8:33:00 AM,0,N,"Recording skipped due to drizzle, PC delayed by rain"
06/01/2014,HF20108G,HF20108G-1,63,9:24:00 AM,n_a,1,0,1,10,3,0,0,10,3,9:34:00 AM,0,N,
06/01/2014,HF20109G,HF20109G-1,63,9:49:00 AM,n_a,1,0,0,10,3,0,0,10,3,9:59:00 AM,0,N,
06/01/2014,HF20201G,HF20201G-1,32,6:30:00 AM,n_a,1,1,0,9.4,3,0,0,9.3,3,6:40:00 AM,0,Y,
06/01/2014,HF20202G,HF20202G-1,32,7:15:00 AM,n_a,1,0,3,9.6,3,1,3,8.4,3,7:25:00 AM,0,Y,No recording (rain). Very low bird activity.
06/01/2014,HF20203G,HF20203G-1,32,7:55:00 AM,n_a,1,0,3,9.7,3,0,4,8.1,3,8:05:00 AM,0,Y,No recording (rain). Low bird activity.
06/01/2014,HF20204G,HF20204G-1,32,8:30:00 AM,n_a,1,0,3,8.5,3,0,3,,3,8:40:00 AM,0,Y,No recording (rain). Low bird activity.
06/01/2014,HF20204N,HF20204N-1,28,9:19:00 AM,n_a,1,1,0,9.3,3,1,0,9.5,3,9:29:00 AM,0,Y,"Clearing drawn on PC form approx 30m x 50m, but rangefinder measurements not taken."
06/01/2014,HF20204S,HF20204S-1,28,9:49:00 AM,n_a,1,2,0,9.8,3,2,0,9.3,3,9:59:00 AM,0,Y,
06/01/2014,HF20205G,HF20205G-1,32,9:09:00 AM,n_a,1,2,0,10.5,3,2,0,9.4,3,9:19:00 AM,0,Y,
06/01/2014,HF20205N,HF20205N-1,28,5:07:00 AM,n_a,1,1,0,8.8,2,,,,,5:17:00 AM,0,Y,Forgot to record weather at end of count.
06/01/2014,HF20205W,HF20205W-1,28,6:33:00 AM,n_a,1,2,0,9.5,3,2,0,8.8,3,6:43:00 AM,0,Y,
06/01/2014,HF20206G,HF20206G-1,32,6:00:00 AM,n_a,1,1,0,9.8,3,1,0,8.6,3,6:10:00 AM,0,Y,
06/01/2014,HF20206N,HF20206N-1,28,5:42:00 AM,n_a,1,2,0,8.5,3,2,0,8.4,3,5:52:00 AM,0,Y,
06/01/2014,HF20206S,HF20206S-1,28,7:19:00 AM,n_a,1,1,1,8.9,3,1,2,8.4,3,7:29:00 AM,0,Y,
06/01/2014,HF20207G,HF20207G-1,32,5:19:00 AM,n_a,1,0,0,8.5,3,1,0,8.4,3,5:29:00 AM,0,Y,
06/01/2014,HF20208G,HF20208G-1,32,10:18:00 AM,n_a,1,0,0,10.2,3,1,0,11.7,3,10:28:00 AM,0,Y,
06/01/2014,HF20209G,HF20209G-1,32,9:45:00 AM,n_a,1,2,0,9.4,3,2,0,9.6,3,9:55:00 AM,0,Y,
06/01/2014,HF20211N,HF20211N-1,28,8:39:00 AM,n_a,1,1,1,8.3,3,0,1,8,3,8:49:00 AM,1,Y,
06/01/2014,HF20211S,HF20211S-1,28,8:01:00 AM,n_a,1,1,2,8.7,3,,,,,8:11:00 AM,1,Y,forgot to record weather at end of count
06/02/2014,HF20401G,HF20401G-1,87,7:15:00 AM,n_a,1,1,0,9.3,2,1,0,9.6,1,7:25:00 AM,1,Y,
06/02/2014,HF20402G,HF20402G-1,87,6:39:00 AM,n_a,1,1,0,7.2,3,1,0,6.7,2,6:49:00 AM,0,Y,
06/02/2014,HF20402N,HF20402N-1,32,5:19:00 AM,n_a,1,0,0,4.7,3,0,0,4.3,3,5:29:00 AM,0,N,
06/02/2014,HF20402S,HF20402S-1,32,4:40:00 AM,n_a,1,0,0,9.2,2,0,0,3.9,2,4:50:00 AM,0,N,Real temperature much closer to 3.9. Miss read the thermometre?
06/02/2014,HF20403G,HF20403G-1,87,6:04:00 AM,n_a,1,0,0,7.7,3,1,0,5.8,3,6:14:00 AM,0,Y,
06/02/2014,HF20403N,HF20403N-1,32,6:14:00 AM,n_a,1,0,0,6.9,3,0,0,6.4,3,6:24:00 AM,0,N,
06/02/2014,HF20403S,HF20403S-1,32,6:55:00 AM,n_a,1,0,0,9.7,3,0,0,8,3,7:05:00 AM,0,N,
06/02/2014,HF20404G,HF20404G-1,87,5:18:00 AM,n_a,1,1,3,4.3,0,1,0,4.7,0,5:28:00 AM,0,Y,"SWTH countersang in zone 2 SE after the PC.  A few rain drops occurred at start of PC, then rain."
06/02/2014,HF20404N,HF20404N-1,32,8:26:00 AM,n_a,1,0,0,13.7,1,0,0,14.7,1,8:36:00 AM,0,N,
06/02/2014,HF20404S,HF20404S-1,32,7:28:00 AM,n_a,1,0,0,8.5,2,0,0,9.4,2,7:38:00 AM,0,N,
06/02/2014,HF20405G,HF20405G-1,87,9:37:00 AM,n_a,1,2,0,18.5,2,1,0,19.2,2,9:47:00 AM,0,Y,
06/02/2014,HF20405N,HF20405N-1,28,8:29:00 AM,n_a,1,0,0,14.6,1,0,0,14.5,1,8:39:00 AM,0,Y,
06/02/2014,HF20405S,HF20405S-1,32,9:05:00 AM,n_a,1,0,0,15.1,3,0,0,15.8,3,9:15:00 AM,0,N,Added 1 minute to recording due to radio contact with pilot.
06/02/2014,HF20406G,HF20406G-1,87,8:02:00 AM,n_a,1,1,0,13.7,1,2,0,13.6,1,8:12:00 AM,1,Y,
06/02/2014,HF20406N,HF20406N-1,28,5:25:00 AM,n_a,1,0,1,1.9,1,0,0,2.1,1,5:35:00 AM,0,Y,
06/02/2014,HF20406W,HF20406W-1,28,4:37:00 AM,n_a,1,1,0,0.5,1,1,0,0.7,1,4:47:00 AM,0,Y,
06/02/2014,HF20407G,HF20407G-1,87,8:48:00 AM,n_a,1,2,0,15.3,2,2,0,15.9,2,8:58:00 AM,0,Y,
06/02/2014,HF20407N,HF20407N-1,28,5:56:00 AM,n_a,1,0,0,3.6,2,,,,,6:06:00 AM,0,Y,forgot to record weather at end of count
06/02/2014,HF20407P,HF20407P-1,28,6:24:00 AM,n_a,1,0,0,5.4,2,0,0,5.3,2,6:34:00 AM,0,Y,
06/02/2014,HF20408G,HF20408G-1,28,9:53:00 AM,n_a,1,0,0,16.3,1,,,,,10:03:00 AM,0,Y,forgot to record weather at end of count
06/02/2014,HF20408N,HF20408N-1,32,9:47:00 AM,n_a,1,0,0,17.9,1,0,0,17.3,1,9:57:00 AM,0,N,
06/02/2014,HF20408P,HF20408P-1,28,7:14:00 AM,n_a,1,0,0,7.9,2,0,0,8.7,2,7:24:00 AM,0,Y,Heli flew over just prior to PC start. 1 Graj omitted (following)
06/02/2014,HF20409G,HF20409G-1,28,9:27:00 AM,n_a,1,2,0,15.2,1,2,0,18.2,1,9:37:00 AM,0,Y,
06/02/2014,HF20501G,HF20501G-1,26,5:04:00 AM,n_a,1,1,0,6.9,2,0,0,4.8,2,5:14:00 AM,0,Y,
06/02/2014,HF20501N,HF20501N-1,63,6:33:00 AM,n_a,1,0,0,6,3,0,0,6,3,6:43:00 AM,0,Y,
06/02/2014,HF20501S,HF20501S-1,63,5:45:00 AM,n_a,1,0,0,4,2,0,0,5,2,5:55:00 AM,0,Y,
06/02/2014,HF20502G,HF20502G-1,26,5:32:00 AM,n_a,1,0,0,5.3,2,0,0,4.5,2,5:42:00 AM,0,Y,
06/02/2014,HF20502N,HF20502N-1,63,6:08:00 AM,n_a,1,0,0,5,3,0,0,5,3,6:18:00 AM,1,Y,
06/02/2014,HF20502P,HF20502P-1,63,5:20:00 AM,n_a,1,0,0,3,2,0,0,3,2,5:30:00 AM,0,Y,
